year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.5,0.5,0.0
1957,0.0,0.5,0.5
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,1.0,0.0,0.0
1967,0.23529411764705882,0.7352941176470589,0.029411764705882353
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,1.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.5,0.5
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,1.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.14285714285714285,0.8571428571428571,0.0
1988,0.5833333333333334,0.4166666666666667,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.2222222222222222,0.7777777777777778,0.0
1993,0.6666666666666666,0.3333333333333333,0.0
1994,0.0,1.0,0.0
1995,0.5,0.5,0.0
1996,0.058823529411764705,0.8823529411764706,0.058823529411764705
1997,0.16666666666666666,0.5,0.3333333333333333
1998,0.2222222222222222,0.7777777777777778,0.0
1999,0.07692307692307693,0.9230769230769231,0.0
2000,0.2631578947368421,0.6842105263157895,0.05263157894736842
2001,0.18181818181818182,0.7878787878787878,0.030303030303030304
2002,0.25,0.75,0.0
2003,0.4666666666666667,0.5333333333333333,0.0
2004,0.5,0.5,0.0
2005,0.4090909090909091,0.5909090909090909,0.0
2006,0.4,0.5,0.1
2007,0.3783783783783784,0.5945945945945946,0.02702702702702703
2008,0.1111111111111111,0.7777777777777778,0.1111111111111111
2009,0.39285714285714285,0.6071428571428571,0.0
2010,0.0,1.0,0.0
2011,0.24,0.72,0.04
2012,0.25806451612903225,0.7096774193548387,0.03225806451612903
2013,0.4444444444444444,0.5555555555555556,0.0
2014,0.25,0.625,0.125
2015,0.25,0.6666666666666666,0.08333333333333333
2016,0.0,1.0,0.0
2017,0.14285714285714285,0.5714285714285714,0.2857142857142857
