year,pos,neu,neg
1950,0.35714285714285715,0.5,0.14285714285714285
1951,0.15789473684210525,0.8421052631578947,0.0
1952,0.09090909090909091,0.8181818181818182,0.09090909090909091
1953,0.07142857142857142,0.8571428571428571,0.07142857142857142
1954,0.3076923076923077,0.6153846153846154,0.07692307692307693
1955,0.21212121212121213,0.7575757575757576,0.030303030303030304
1956,0.0,0.9,0.1
1957,0.3,0.7,0.0
1958,0.3333333333333333,0.6666666666666666,0.0
1959,0.42857142857142855,0.5714285714285714,0.0
1960,0.1111111111111111,0.6296296296296297,0.25925925925925924
1961,0.5384615384615384,0.46153846153846156,0.0
1962,0.4,0.5,0.1
1963,0.1590909090909091,0.75,0.09090909090909091
1964,0.4,0.6,0.0
1965,0.175,0.725,0.1
1966,0.3125,0.6875,0.0
1967,0.11578947368421053,0.7894736842105263,0.09473684210526316
1968,0.11320754716981132,0.8301886792452831,0.05660377358490566
1969,0.37777777777777777,0.5333333333333333,0.08888888888888889
1970,0.19047619047619047,0.8095238095238095,0.0
1971,0.22580645161290322,0.6451612903225806,0.12903225806451613
1972,0.35294117647058826,0.5686274509803921,0.0784313725490196
1973,0.26666666666666666,0.5333333333333333,0.2
1974,0.10714285714285714,0.8571428571428571,0.03571428571428571
1975,0.12195121951219512,0.8292682926829268,0.04878048780487805
1976,0.2962962962962963,0.6666666666666666,0.037037037037037035
1977,0.11538461538461539,0.8076923076923077,0.07692307692307693
1978,0.34,0.54,0.12
1979,0.35714285714285715,0.5,0.14285714285714285
1980,0.24,0.72,0.04
1981,0.18181818181818182,0.8181818181818182,0.0
1982,0.10714285714285714,0.75,0.14285714285714285
1983,0.3448275862068966,0.5862068965517241,0.06896551724137931
1984,0.29411764705882354,0.5882352941176471,0.11764705882352941
1985,0.24390243902439024,0.7073170731707317,0.04878048780487805
1986,0.3076923076923077,0.6538461538461539,0.038461538461538464
1987,0.5054945054945055,0.46153846153846156,0.03296703296703297
1988,0.3,0.5,0.2
1989,0.07142857142857142,0.8571428571428571,0.07142857142857142
1990,0.22413793103448276,0.7413793103448276,0.034482758620689655
1991,0.1111111111111111,0.7777777777777778,0.1111111111111111
1992,0.2608695652173913,0.6956521739130435,0.043478260869565216
1993,0.1794871794871795,0.7435897435897436,0.07692307692307693
1994,0.16666666666666666,0.7777777777777778,0.05555555555555555
1995,0.3191489361702128,0.5957446808510638,0.0851063829787234
1996,0.24561403508771928,0.6842105263157895,0.07017543859649122
1997,0.16822429906542055,0.719626168224299,0.11214953271028037
1998,0.25,0.6805555555555556,0.06944444444444445
1999,0.09523809523809523,0.8095238095238095,0.09523809523809523
2000,0.20689655172413793,0.7758620689655172,0.017241379310344827
2001,0.2,0.7083333333333334,0.09166666666666666
2002,0.21568627450980393,0.696078431372549,0.08823529411764706
2003,0.22758620689655173,0.6344827586206897,0.13793103448275862
2004,0.2805755395683453,0.6258992805755396,0.09352517985611511
2005,0.18404907975460122,0.7239263803680982,0.09202453987730061
2006,0.21161825726141079,0.7510373443983402,0.03734439834024896
2007,0.20304568527918782,0.7106598984771574,0.08629441624365482
2008,0.20361990950226244,0.7420814479638009,0.05429864253393665
2009,0.2146341463414634,0.7463414634146341,0.03902439024390244
2010,0.2640845070422535,0.676056338028169,0.05985915492957746
2011,0.2691029900332226,0.654485049833887,0.07641196013289037
2012,0.20164609053497942,0.7366255144032922,0.06172839506172839
2013,0.26,0.664,0.076
2014,0.25301204819277107,0.6706827309236948,0.07630522088353414
2015,0.20655737704918034,0.7016393442622951,0.09180327868852459
2016,0.24812030075187969,0.6954887218045113,0.05639097744360902
2017,0.17010309278350516,0.6855670103092784,0.14432989690721648
