year,pos,neu,neg
1950,0.0,1.0,0.0
1951,1.0,0.0,0.0
1952,0.0,0.5,0.5
1953,0.5,0.5,0.0
1954,0.0,0.0,0.0
1955,0.5,0.0,0.5
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.2,0.8,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.16666666666666666,0.6666666666666666,0.16666666666666666
1964,0.875,0.125,0.0
1965,0.0,1.0,0.0
1966,0.25,0.75,0.0
1967,0.4,0.6,0.0
1968,0.0,0.0,0.0
1969,0.2857142857142857,0.5714285714285714,0.14285714285714285
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.21428571428571427,0.5,0.2857142857142857
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.3333333333333333,0.6666666666666666,0.0
1976,0.5,0.5,0.0
1977,0.0,0.0,0.0
1978,0.3333333333333333,0.3333333333333333,0.3333333333333333
1979,0.0,1.0,0.0
1980,0.16666666666666666,0.6666666666666666,0.16666666666666666
1981,1.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.0,1.0,0.0
1987,0.8571428571428571,0.14285714285714285,0.0
1988,0.25,0.5,0.25
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.6,0.4,0.0
1992,0.0,0.0,0.0
1993,0.6666666666666666,0.3333333333333333,0.0
1994,0.2,0.8,0.0
1995,0.08333333333333333,0.6666666666666666,0.25
1996,0.5,0.25,0.25
1997,0.0,1.0,0.0
1998,0.42857142857142855,0.5714285714285714,0.0
1999,1.0,0.0,0.0
2000,0.4166666666666667,0.5833333333333334,0.0
2001,0.0,0.6666666666666666,0.3333333333333333
2002,0.4,0.6,0.0
2003,0.14285714285714285,0.7142857142857143,0.14285714285714285
2004,0.3333333333333333,0.5833333333333334,0.08333333333333333
2005,0.6,0.4,0.0
2006,0.38461538461538464,0.5384615384615384,0.07692307692307693
2007,0.3076923076923077,0.6923076923076923,0.0
2008,0.18181818181818182,0.7727272727272727,0.045454545454545456
2009,0.3888888888888889,0.5555555555555556,0.05555555555555555
2010,0.16666666666666666,0.7777777777777778,0.05555555555555555
2011,0.23076923076923078,0.6923076923076923,0.07692307692307693
2012,0.37037037037037035,0.6296296296296297,0.0
2013,0.2857142857142857,0.6530612244897959,0.061224489795918366
2014,0.5,0.5,0.0
2015,0.2,0.8,0.0
2016,0.36363636363636365,0.5757575757575758,0.06060606060606061
2017,0.3,0.6666666666666666,0.03333333333333333
