year,pos,neu,neg
1950,0.24324324324324326,0.7297297297297297,0.02702702702702703
1951,0.13157894736842105,0.7894736842105263,0.07894736842105263
1952,0.21428571428571427,0.75,0.03571428571428571
1953,0.2,0.7714285714285715,0.02857142857142857
1954,0.16666666666666666,0.7083333333333334,0.125
1955,0.10344827586206896,0.8620689655172413,0.034482758620689655
1956,0.1,0.8428571428571429,0.05714285714285714
1957,0.08333333333333333,0.8194444444444444,0.09722222222222222
1958,0.08860759493670886,0.8607594936708861,0.05063291139240506
1959,0.11666666666666667,0.8166666666666667,0.06666666666666667
1960,0.16666666666666666,0.7708333333333334,0.0625
1961,0.13333333333333333,0.7866666666666666,0.08
1962,0.16883116883116883,0.7532467532467533,0.07792207792207792
1963,0.20175438596491227,0.7280701754385965,0.07017543859649122
1964,0.20987654320987653,0.7283950617283951,0.06172839506172839
1965,0.20394736842105263,0.7039473684210527,0.09210526315789473
1966,0.19387755102040816,0.7857142857142857,0.02040816326530612
1967,0.16666666666666666,0.78,0.05333333333333334
1968,0.1889763779527559,0.7559055118110236,0.05511811023622047
1969,0.16216216216216217,0.7837837837837838,0.05405405405405406
1970,0.19736842105263158,0.75,0.05263157894736842
1971,0.1282051282051282,0.7606837606837606,0.1111111111111111
1972,0.15602836879432624,0.8085106382978723,0.03546099290780142
1973,0.08064516129032258,0.8629032258064516,0.056451612903225805
1974,0.1417910447761194,0.7910447761194029,0.06716417910447761
1975,0.11564625850340136,0.8163265306122449,0.06802721088435375
1976,0.15454545454545454,0.7727272727272727,0.07272727272727272
1977,0.17777777777777778,0.7555555555555555,0.06666666666666667
1978,0.1875,0.7678571428571429,0.044642857142857144
1979,0.18018018018018017,0.7747747747747747,0.04504504504504504
1980,0.184,0.76,0.056
1981,0.17543859649122806,0.7719298245614035,0.05263157894736842
1982,0.09848484848484848,0.8484848484848485,0.05303030303030303
1983,0.1724137931034483,0.7931034482758621,0.034482758620689655
1984,0.17293233082706766,0.7293233082706767,0.09774436090225563
1985,0.17674418604651163,0.7767441860465116,0.046511627906976744
1986,0.15602836879432624,0.7730496453900709,0.07092198581560284
1987,0.11920529801324503,0.8675496688741722,0.013245033112582781
1988,0.16216216216216217,0.7837837837837838,0.05405405405405406
1989,0.21052631578947367,0.7426900584795322,0.04678362573099415
1990,0.12658227848101267,0.8291139240506329,0.04430379746835443
1991,0.15486725663716813,0.7831858407079646,0.061946902654867256
1992,0.140625,0.8125,0.046875
1993,0.16176470588235295,0.7696078431372549,0.06862745098039216
1994,0.16115702479338842,0.7644628099173554,0.0743801652892562
1995,0.18461538461538463,0.75,0.06538461538461539
1996,0.16117216117216118,0.7765567765567766,0.06227106227106227
1997,0.1557377049180328,0.7814207650273224,0.06284153005464481
1998,0.1643835616438356,0.7876712328767124,0.04794520547945205
1999,0.1565217391304348,0.782608695652174,0.06086956521739131
2000,0.13432835820895522,0.7953091684434968,0.07036247334754797
2001,0.16478555304740405,0.7697516930022573,0.0654627539503386
2002,0.15674603174603174,0.7797619047619048,0.06349206349206349
2003,0.1702127659574468,0.776595744680851,0.05319148936170213
2004,0.18013468013468015,0.7306397306397306,0.08922558922558922
2005,0.1414965986394558,0.7986394557823129,0.05986394557823129
2006,0.13802083333333334,0.7903645833333334,0.07161458333333333
2007,0.1668545659526494,0.741826381059752,0.09131905298759865
2008,0.17184035476718404,0.753880266075388,0.07427937915742794
2009,0.14323144104803492,0.7903930131004366,0.06637554585152838
2010,0.17675544794188863,0.7659402744148507,0.057304277643260695
2011,0.15435259692757863,0.7790782735918069,0.06656912948061448
2012,0.1649782923299566,0.7633863965267728,0.07163531114327062
2013,0.17627785058977719,0.77129750982962,0.05242463958060288
2014,0.15134370579915135,0.7595473833097596,0.0891089108910891
2015,0.15706051873198848,0.7788184438040345,0.06412103746397695
2016,0.1697054698457223,0.7559607293127629,0.07433380084151472
2017,0.15607734806629833,0.7817679558011049,0.062154696132596686
