year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.5,0.5,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.8,0.2
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.5,0.25,0.25
1966,0.5,0.5,0.0
1967,0.16666666666666666,0.6666666666666666,0.16666666666666666
1968,0.1875,0.75,0.0625
1969,0.5,0.5,0.0
1970,0.0,1.0,0.0
1971,0.11764705882352941,0.8235294117647058,0.058823529411764705
1972,0.0,1.0,0.0
1973,0.0,0.8,0.2
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.75,0.25
1977,0.2,0.4,0.4
1978,0.3333333333333333,0.4444444444444444,0.2222222222222222
1979,0.0,1.0,0.0
1980,0.14285714285714285,0.8095238095238095,0.047619047619047616
1981,0.0,0.3333333333333333,0.6666666666666666
1982,0.0,1.0,0.0
1983,1.0,0.0,0.0
1984,0.0,0.5,0.5
1985,0.0,0.75,0.25
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.14285714285714285,0.7142857142857143,0.14285714285714285
1988,0.125,0.75,0.125
1989,0.0,1.0,0.0
1990,0.0,0.6666666666666666,0.3333333333333333
1991,0.0,0.6666666666666666,0.3333333333333333
1992,0.2222222222222222,0.6666666666666666,0.1111111111111111
1993,0.3333333333333333,0.5833333333333334,0.08333333333333333
1994,0.2222222222222222,0.7777777777777778,0.0
1995,0.08333333333333333,0.9166666666666666,0.0
1996,0.3333333333333333,0.5,0.16666666666666666
1997,0.25,0.5,0.25
1998,0.14285714285714285,0.6190476190476191,0.23809523809523808
1999,0.3,0.6,0.1
2000,0.25,0.5,0.25
2001,0.2631578947368421,0.6842105263157895,0.05263157894736842
2002,0.0,0.75,0.25
2003,0.1111111111111111,0.7222222222222222,0.16666666666666666
2004,0.0,1.0,0.0
2005,0.05714285714285714,0.7714285714285715,0.17142857142857143
2006,0.16666666666666666,0.7,0.13333333333333333
2007,0.1836734693877551,0.7551020408163265,0.061224489795918366
2008,0.13043478260869565,0.6521739130434783,0.21739130434782608
2009,0.17857142857142858,0.7857142857142857,0.03571428571428571
2010,0.24390243902439024,0.6097560975609756,0.14634146341463414
2011,0.19047619047619047,0.6904761904761905,0.11904761904761904
2012,0.17073170731707318,0.7560975609756098,0.07317073170731707
2013,0.20689655172413793,0.6896551724137931,0.10344827586206896
2014,0.2972972972972973,0.6486486486486487,0.05405405405405406
2015,0.18518518518518517,0.7222222222222222,0.09259259259259259
2016,0.14285714285714285,0.8095238095238095,0.047619047619047616
2017,0.17647058823529413,0.8235294117647058,0.0
