year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.25,0.75,0.0
1954,0.0,1.0,0.0
1955,1.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.6666666666666666,0.3333333333333333,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.6666666666666666,0.3333333333333333,0.0
1961,0.25,0.75,0.0
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.5555555555555556,0.1111111111111111
1964,0.0,0.0,0.0
1965,0.4444444444444444,0.5555555555555556,0.0
1966,0.0,1.0,0.0
1967,0.2857142857142857,0.42857142857142855,0.2857142857142857
1968,0.4,0.4,0.2
1969,0.5,0.5,0.0
1970,0.6666666666666666,0.3333333333333333,0.0
1971,0.0,0.0,0.0
1972,0.0,0.75,0.25
1973,1.0,0.0,0.0
1974,0.25,0.75,0.0
1975,0.16666666666666666,0.5,0.3333333333333333
1976,0.0,0.6666666666666666,0.3333333333333333
1977,0.2,0.6,0.2
1978,0.4166666666666667,0.5833333333333334,0.0
1979,0.0,1.0,0.0
1980,0.23076923076923078,0.6461538461538462,0.12307692307692308
1981,0.0,0.0,1.0
1982,0.11764705882352941,0.7647058823529411,0.11764705882352941
1983,0.4,0.4,0.2
1984,0.25,0.75,0.0
1985,0.25,0.75,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.25,0.5,0.25
1989,0.12,0.84,0.04
1990,0.0,0.0,0.0
1991,0.6666666666666666,0.3333333333333333,0.0
1992,0.14285714285714285,0.7142857142857143,0.14285714285714285
1993,0.16666666666666666,0.6666666666666666,0.16666666666666666
1994,0.08333333333333333,0.9166666666666666,0.0
1995,0.36363636363636365,0.45454545454545453,0.18181818181818182
1996,0.18181818181818182,0.8181818181818182,0.0
1997,0.11764705882352941,0.8627450980392157,0.0196078431372549
1998,0.14285714285714285,0.6785714285714286,0.17857142857142858
1999,0.29411764705882354,0.5882352941176471,0.11764705882352941
2000,0.35384615384615387,0.5538461538461539,0.09230769230769231
2001,0.19230769230769232,0.7692307692307693,0.038461538461538464
2002,0.25,0.6666666666666666,0.08333333333333333
2003,0.18181818181818182,0.6363636363636364,0.18181818181818182
2004,0.34615384615384615,0.5384615384615384,0.11538461538461539
2005,0.2647058823529412,0.6764705882352942,0.058823529411764705
2006,0.1282051282051282,0.7692307692307693,0.10256410256410256
2007,0.24242424242424243,0.7196969696969697,0.03787878787878788
2008,0.2236024844720497,0.7515527950310559,0.024844720496894408
2009,0.25213675213675213,0.7051282051282052,0.042735042735042736
2010,0.23829787234042554,0.6893617021276596,0.07234042553191489
2011,0.21153846153846154,0.7019230769230769,0.08653846153846154
2012,0.19718309859154928,0.7394366197183099,0.06338028169014084
2013,0.2,0.7230769230769231,0.07692307692307693
2014,0.20300751879699247,0.7218045112781954,0.07518796992481203
2015,0.2028985507246377,0.7536231884057971,0.043478260869565216
2016,0.21875,0.6770833333333334,0.10416666666666667
2017,0.23404255319148937,0.6808510638297872,0.0851063829787234
