year,pos,neu,neg
1950,0.0,0.6666666666666666,0.3333333333333333
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,1.0
1957,0.0,1.0,0.0
1958,0.0,0.6666666666666666,0.3333333333333333
1959,0.25,0.75,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.8,0.2
1970,0.0,0.0,0.0
1971,0.0,0.6666666666666666,0.3333333333333333
1972,0.2,0.8,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.2222222222222222,0.6666666666666666,0.1111111111111111
1981,0.4,0.6,0.0
1982,0.5,0.5,0.0
1983,0.0,1.0,0.0
1984,0.0,0.5,0.5
1985,0.2,0.8,0.0
1986,0.0,0.3333333333333333,0.6666666666666666
1987,0.3333333333333333,0.5555555555555556,0.1111111111111111
1988,0.125,0.875,0.0
1989,0.0,1.0,0.0
1990,0.0,0.75,0.25
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.14285714285714285,0.5714285714285714,0.2857142857142857
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.25,0.75,0.0
1998,0.0,1.0,0.0
1999,0.16666666666666666,0.8333333333333334,0.0
2000,0.5,0.5,0.0
2001,0.16666666666666666,0.8333333333333334,0.0
2002,0.1111111111111111,0.8333333333333334,0.05555555555555555
2003,0.14285714285714285,0.7857142857142857,0.07142857142857142
2004,0.0,0.7142857142857143,0.2857142857142857
2005,0.2222222222222222,0.5555555555555556,0.2222222222222222
2006,0.15789473684210525,0.7894736842105263,0.05263157894736842
2007,0.17391304347826086,0.7391304347826086,0.08695652173913043
2008,0.18181818181818182,0.8181818181818182,0.0
2009,0.0,0.9285714285714286,0.07142857142857142
2010,0.21739130434782608,0.717391304347826,0.06521739130434782
2011,0.034482758620689655,0.7241379310344828,0.2413793103448276
2012,0.23076923076923078,0.6923076923076923,0.07692307692307693
2013,0.23529411764705882,0.7058823529411765,0.058823529411764705
2014,0.06666666666666667,0.7333333333333333,0.2
2015,0.1,0.7666666666666667,0.13333333333333333
2016,0.07142857142857142,0.7857142857142857,0.14285714285714285
2017,0.15384615384615385,0.8076923076923077,0.038461538461538464
