year,pos,neu,neg
1950,0.6666666666666666,0.3333333333333333,0.0
1951,0.0,0.0,0.0
1952,1.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,1.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,1.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.5714285714285714,0.42857142857142855,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.25,0.625,0.125
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.5,0.5,0.0
1977,0.0,0.0,0.0
1978,0.42857142857142855,0.42857142857142855,0.14285714285714285
1979,0.5,0.5,0.0
1980,0.0,1.0,0.0
1981,0.3333333333333333,0.3333333333333333,0.3333333333333333
1982,0.0,0.0,0.0
1983,0.3333333333333333,0.6666666666666666,0.0
1984,0.16666666666666666,0.5,0.3333333333333333
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.0,0.3333333333333333,0.6666666666666666
1987,0.5,0.5,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.5,0.5,0.0
1990,0.0,0.6666666666666666,0.3333333333333333
1991,0.3333333333333333,0.3333333333333333,0.3333333333333333
1992,0.5,0.5,0.0
1993,0.375,0.375,0.25
1994,0.6052631578947368,0.3157894736842105,0.07894736842105263
1995,0.2,0.4,0.4
1996,0.3333333333333333,0.5,0.16666666666666666
1997,0.6666666666666666,0.3333333333333333,0.0
1998,0.5,0.25,0.25
1999,0.8333333333333334,0.16666666666666666,0.0
2000,0.2857142857142857,0.7142857142857143,0.0
2001,0.25,0.5,0.25
2002,0.5,0.375,0.125
2003,0.6,0.0,0.4
2004,0.06666666666666667,0.8666666666666667,0.06666666666666667
2005,0.375,0.625,0.0
2006,0.375,0.4375,0.1875
2007,0.6,0.4,0.0
2008,0.42857142857142855,0.2857142857142857,0.2857142857142857
2009,0.13333333333333333,0.8,0.06666666666666667
2010,0.26666666666666666,0.6666666666666666,0.06666666666666667
2011,0.15384615384615385,0.7692307692307693,0.07692307692307693
2012,0.32142857142857145,0.4642857142857143,0.21428571428571427
2013,0.10526315789473684,0.7894736842105263,0.10526315789473684
2014,0.32142857142857145,0.5714285714285714,0.10714285714285714
2015,0.46153846153846156,0.3076923076923077,0.23076923076923078
2016,0.16216216216216217,0.7297297297297297,0.10810810810810811
2017,0.375,0.625,0.0
