year,pos,neu,neg
1950,0.12,0.88,0.0
1951,0.18181818181818182,0.8181818181818182,0.0
1952,0.3125,0.6875,0.0
1953,0.047619047619047616,0.9047619047619048,0.047619047619047616
1954,0.16666666666666666,0.8333333333333334,0.0
1955,0.23809523809523808,0.6666666666666666,0.09523809523809523
1956,0.0,0.8888888888888888,0.1111111111111111
1957,0.13043478260869565,0.6956521739130435,0.17391304347826086
1958,0.16666666666666666,0.7777777777777778,0.05555555555555555
1959,0.08108108108108109,0.8648648648648649,0.05405405405405406
1960,0.17647058823529413,0.8235294117647058,0.0
1961,0.0,1.0,0.0
1962,0.08333333333333333,0.8333333333333334,0.08333333333333333
1963,0.047619047619047616,0.9523809523809523,0.0
1964,0.1111111111111111,0.8333333333333334,0.05555555555555555
1965,0.09302325581395349,0.813953488372093,0.09302325581395349
1966,0.25,0.6363636363636364,0.11363636363636363
1967,0.18518518518518517,0.7777777777777778,0.037037037037037035
1968,0.14285714285714285,0.7714285714285715,0.08571428571428572
1969,0.0,0.9259259259259259,0.07407407407407407
1970,0.1875,0.6875,0.125
1971,0.09090909090909091,0.7954545454545454,0.11363636363636363
1972,0.1891891891891892,0.7297297297297297,0.08108108108108109
1973,0.35294117647058826,0.5,0.14705882352941177
1974,0.13043478260869565,0.782608695652174,0.08695652173913043
1975,0.14814814814814814,0.7407407407407407,0.1111111111111111
1976,0.13043478260869565,0.782608695652174,0.08695652173913043
1977,0.0,0.7222222222222222,0.2777777777777778
1978,0.08333333333333333,0.8333333333333334,0.08333333333333333
1979,0.11764705882352941,0.8235294117647058,0.058823529411764705
1980,0.18181818181818182,0.7272727272727273,0.09090909090909091
1981,0.10526315789473684,0.7894736842105263,0.10526315789473684
1982,0.23333333333333334,0.6666666666666666,0.1
1983,0.11363636363636363,0.75,0.13636363636363635
1984,0.13333333333333333,0.8,0.06666666666666667
1985,0.12962962962962962,0.8148148148148148,0.05555555555555555
1986,0.19047619047619047,0.7619047619047619,0.047619047619047616
1987,0.14285714285714285,0.6857142857142857,0.17142857142857143
1988,0.125,0.65625,0.21875
1989,0.2,0.6,0.2
1990,0.08823529411764706,0.8823529411764706,0.029411764705882353
1991,0.1724137931034483,0.7586206896551724,0.06896551724137931
1992,0.0,0.9166666666666666,0.08333333333333333
1993,0.0625,0.84375,0.09375
1994,0.14285714285714285,0.8214285714285714,0.03571428571428571
1995,0.13043478260869565,0.782608695652174,0.08695652173913043
1996,0.06060606060606061,0.8787878787878788,0.06060606060606061
1997,0.06976744186046512,0.813953488372093,0.11627906976744186
1998,0.14130434782608695,0.782608695652174,0.07608695652173914
1999,0.14035087719298245,0.7017543859649122,0.15789473684210525
2000,0.3333333333333333,0.625,0.041666666666666664
2001,0.175,0.725,0.1
2002,0.1891891891891892,0.6486486486486487,0.16216216216216217
2003,0.08620689655172414,0.8620689655172413,0.05172413793103448
2004,0.11428571428571428,0.7428571428571429,0.14285714285714285
2005,0.16666666666666666,0.7333333333333333,0.1
2006,0.2087912087912088,0.7032967032967034,0.08791208791208792
2007,0.14814814814814814,0.7901234567901234,0.06172839506172839
2008,0.16901408450704225,0.7464788732394366,0.08450704225352113
2009,0.11267605633802817,0.852112676056338,0.035211267605633804
2010,0.07874015748031496,0.8267716535433071,0.09448818897637795
2011,0.12048192771084337,0.7349397590361446,0.14457831325301204
2012,0.14743589743589744,0.8012820512820513,0.05128205128205128
2013,0.19883040935672514,0.7485380116959064,0.05263157894736842
2014,0.17180616740088106,0.6872246696035242,0.14096916299559473
2015,0.16911764705882354,0.6764705882352942,0.15441176470588236
2016,0.1592356687898089,0.7515923566878981,0.08917197452229299
2017,0.17567567567567569,0.7567567567567568,0.06756756756756757
