year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,1.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,1.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.25,0.75,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,1.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,1.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.2,0.8,0.0
1987,0.0,1.0,0.0
1988,0.0,0.5,0.5
1989,1.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,1.0,0.0
1992,0.5,0.5,0.0
1993,0.25,0.75,0.0
1994,0.4,0.4,0.2
1995,1.0,0.0,0.0
1996,0.8,0.2,0.0
1997,0.2,0.8,0.0
1998,0.0,1.0,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.0,1.0,0.0
2001,0.25,0.75,0.0
2002,0.14285714285714285,0.7142857142857143,0.14285714285714285
2003,0.1,0.9,0.0
2004,0.2,0.8,0.0
2005,0.4,0.6,0.0
2006,0.0,1.0,0.0
2007,0.2222222222222222,0.7777777777777778,0.0
2008,0.18181818181818182,0.7272727272727273,0.09090909090909091
2009,0.2857142857142857,0.7142857142857143,0.0
2010,0.16666666666666666,0.7777777777777778,0.05555555555555555
2011,0.08333333333333333,0.8333333333333334,0.08333333333333333
2012,0.29411764705882354,0.7058823529411765,0.0
2013,0.13636363636363635,0.7272727272727273,0.13636363636363635
2014,0.19047619047619047,0.7142857142857143,0.09523809523809523
2015,0.47619047619047616,0.5238095238095238,0.0
2016,0.3076923076923077,0.6923076923076923,0.0
2017,0.0,1.0,0.0
