year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.5,0.5,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.75,0.25
1958,0.5,0.5,0.0
1959,0.0,1.0,0.0
1960,0.3333333333333333,0.3333333333333333,0.3333333333333333
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.16666666666666666,0.8333333333333334,0.0
1964,0.375,0.625,0.0
1965,0.0,1.0,0.0
1966,0.2,0.6,0.2
1967,0.16666666666666666,0.5,0.3333333333333333
1968,0.5,0.5,0.0
1969,0.5,0.25,0.25
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.2,0.5,0.3
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.25,0.5,0.25
1976,0.0,1.0,0.0
1977,0.5,0.5,0.0
1978,0.3333333333333333,0.6666666666666666,0.0
1979,0.0,0.5,0.5
1980,0.3333333333333333,0.6666666666666666,0.0
1981,0.16666666666666666,0.8333333333333334,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.375,0.625,0.0
1984,0.0,0.0,1.0
1985,0.0,1.0,0.0
1986,0.14285714285714285,0.8571428571428571,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.25,0.75,0.0
1990,0.0,1.0,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.2727272727272727,0.7272727272727273,0.0
1993,0.16666666666666666,0.8333333333333334,0.0
1994,0.0,1.0,0.0
1995,0.09090909090909091,0.9090909090909091,0.0
1996,0.4,0.6,0.0
1997,0.0,1.0,0.0
1998,0.0,0.6666666666666666,0.3333333333333333
1999,0.14285714285714285,0.7142857142857143,0.14285714285714285
2000,0.25,0.75,0.0
2001,0.0,1.0,0.0
2002,0.09090909090909091,0.7272727272727273,0.18181818181818182
2003,0.19047619047619047,0.7619047619047619,0.047619047619047616
2004,0.10526315789473684,0.6842105263157895,0.21052631578947367
2005,0.14285714285714285,0.6666666666666666,0.19047619047619047
2006,0.19047619047619047,0.7142857142857143,0.09523809523809523
2007,0.35714285714285715,0.5714285714285714,0.07142857142857142
2008,0.15384615384615385,0.7692307692307693,0.07692307692307693
2009,0.23809523809523808,0.7619047619047619,0.0
2010,0.16666666666666666,0.7222222222222222,0.1111111111111111
2011,0.11538461538461539,0.7307692307692307,0.15384615384615385
2012,0.1875,0.6875,0.125
2013,0.38235294117647056,0.5588235294117647,0.058823529411764705
2014,0.038461538461538464,0.8846153846153846,0.07692307692307693
2015,0.08108108108108109,0.8648648648648649,0.05405405405405406
2016,0.18181818181818182,0.7575757575757576,0.06060606060606061
2017,0.125,0.8125,0.0625
