year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.5,0.5,0.0
1954,0.0,0.0,0.0
1955,0.5714285714285714,0.42857142857142855,0.0
1956,1.0,0.0,0.0
1957,0.14285714285714285,0.7142857142857143,0.14285714285714285
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.25,0.75,0.0
1962,0.0,0.8888888888888888,0.1111111111111111
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.6666666666666666,0.3333333333333333
1966,0.0,1.0,0.0
1967,0.5,0.5,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.6666666666666666,0.3333333333333333,0.0
1971,0.16666666666666666,0.8333333333333334,0.0
1972,0.0,0.0,0.0
1973,0.0,0.5,0.5
1974,0.25,0.75,0.0
1975,0.16666666666666666,0.8333333333333334,0.0
1976,0.0,1.0,0.0
1977,0.5,0.5,0.0
1978,0.25,0.5,0.25
1979,0.13333333333333333,0.5333333333333333,0.3333333333333333
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,1.0,0.0,0.0
1983,0.17857142857142858,0.6428571428571429,0.17857142857142858
1984,0.5,0.5,0.0
1985,0.3111111111111111,0.6,0.08888888888888889
1986,0.6666666666666666,0.3333333333333333,0.0
1987,0.11764705882352941,0.7647058823529411,0.11764705882352941
1988,0.2857142857142857,0.5714285714285714,0.14285714285714285
1989,0.0,0.75,0.25
1990,0.5,0.3333333333333333,0.16666666666666666
1991,0.30952380952380953,0.6666666666666666,0.023809523809523808
1992,0.46153846153846156,0.3076923076923077,0.23076923076923078
1993,0.0,0.875,0.125
1994,0.14285714285714285,0.7142857142857143,0.14285714285714285
1995,0.0,1.0,0.0
1996,0.2222222222222222,0.6666666666666666,0.1111111111111111
1997,0.2727272727272727,0.7272727272727273,0.0
1998,0.14285714285714285,0.8571428571428571,0.0
1999,0.16666666666666666,0.8333333333333334,0.0
2000,0.058823529411764705,0.8823529411764706,0.058823529411764705
2001,0.19230769230769232,0.6923076923076923,0.11538461538461539
2002,0.125,0.7083333333333334,0.16666666666666666
2003,0.18181818181818182,0.8181818181818182,0.0
2004,0.24,0.72,0.04
2005,0.23076923076923078,0.6153846153846154,0.15384615384615385
2006,0.3181818181818182,0.6363636363636364,0.045454545454545456
2007,0.2222222222222222,0.6666666666666666,0.1111111111111111
2008,0.20689655172413793,0.7241379310344828,0.06896551724137931
2009,0.2682926829268293,0.6829268292682927,0.04878048780487805
2010,0.2631578947368421,0.6052631578947368,0.13157894736842105
2011,0.12048192771084337,0.7469879518072289,0.13253012048192772
2012,0.25,0.631578947368421,0.11842105263157894
2013,0.19230769230769232,0.6346153846153846,0.17307692307692307
2014,0.19148936170212766,0.5319148936170213,0.2765957446808511
2015,0.15151515151515152,0.7272727272727273,0.12121212121212122
2016,0.16666666666666666,0.7777777777777778,0.05555555555555555
2017,0.16393442622950818,0.6557377049180327,0.18032786885245902
