year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.5,0.5,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,1.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.3333333333333333,0.6666666666666666,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.6666666666666666,0.3333333333333333,0.0
1977,1.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.0,1.0,0.0
1984,0.5,0.5,0.0
1985,0.42857142857142855,0.5714285714285714,0.0
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.25,0.75,0.0
1990,0.0,1.0,0.0
1991,0.6666666666666666,0.3333333333333333,0.0
1992,0.16666666666666666,0.6666666666666666,0.16666666666666666
1993,0.16666666666666666,0.8333333333333334,0.0
1994,0.4444444444444444,0.5555555555555556,0.0
1995,0.25,0.625,0.125
1996,0.46153846153846156,0.46153846153846156,0.07692307692307693
1997,0.1111111111111111,0.8888888888888888,0.0
1998,0.23076923076923078,0.6923076923076923,0.07692307692307693
1999,0.0625,0.75,0.1875
2000,0.23076923076923078,0.6923076923076923,0.07692307692307693
2001,0.2857142857142857,0.5714285714285714,0.14285714285714285
2002,0.2608695652173913,0.6521739130434783,0.08695652173913043
2003,0.2777777777777778,0.6666666666666666,0.05555555555555555
2004,0.375,0.5625,0.0625
2005,0.38461538461538464,0.5,0.11538461538461539
2006,0.6923076923076923,0.3076923076923077,0.0
2007,0.15,0.65,0.2
2008,0.3333333333333333,0.5833333333333334,0.08333333333333333
2009,0.14285714285714285,0.7857142857142857,0.07142857142857142
2010,0.34285714285714286,0.5714285714285714,0.08571428571428572
2011,0.4444444444444444,0.48148148148148145,0.07407407407407407
2012,0.2916666666666667,0.6875,0.020833333333333332
2013,0.19047619047619047,0.8095238095238095,0.0
2014,0.4166666666666667,0.5277777777777778,0.05555555555555555
2015,0.3793103448275862,0.5344827586206896,0.08620689655172414
2016,0.3448275862068966,0.5517241379310345,0.10344827586206896
2017,0.28,0.6,0.12
