year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.2,0.6,0.2
1955,0.0,0.0,0.0
1956,0.1,0.8,0.1
1957,0.2857142857142857,0.7142857142857143,0.0
1958,0.0,0.6666666666666666,0.3333333333333333
1959,0.0,0.0,0.0
1960,0.25,0.75,0.0
1961,0.0,0.5,0.5
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.3333333333333333,0.3333333333333333,0.3333333333333333
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.0,0.6666666666666666,0.3333333333333333
1967,0.25,0.625,0.125
1968,1.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.5,0.0,0.5
1971,0.0,1.0,0.0
1972,0.0,0.0,1.0
1973,0.5,0.5,0.0
1974,0.5,0.5,0.0
1975,0.6666666666666666,0.3333333333333333,0.0
1976,0.0,1.0,0.0
1977,0.125,0.75,0.125
1978,0.2857142857142857,0.7142857142857143,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.6666666666666666,0.3333333333333333,0.0
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.0,0.6666666666666666,0.3333333333333333
1989,0.0,1.0,0.0
1990,0.5,0.5,0.0
1991,0.0,0.75,0.25
1992,0.3333333333333333,0.3333333333333333,0.3333333333333333
1993,0.375,0.625,0.0
1994,0.125,0.625,0.25
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.0,1.0,0.0
1997,0.5,0.25,0.25
1998,0.2,0.6,0.2
1999,0.5,0.5,0.0
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.0,0.8571428571428571,0.14285714285714285
2003,0.0,0.0,1.0
2004,0.0,0.8,0.2
2005,0.0,1.0,0.0
2006,0.0,1.0,0.0
2007,0.5,0.5,0.0
2008,0.125,0.625,0.25
2009,0.0,1.0,0.0
2010,0.4,0.2,0.4
2011,0.25,0.75,0.0
2012,0.0,1.0,0.0
2013,0.07692307692307693,0.6923076923076923,0.23076923076923078
2014,0.09090909090909091,0.9090909090909091,0.0
2015,0.05263157894736842,0.631578947368421,0.3157894736842105
2016,0.23529411764705882,0.23529411764705882,0.5294117647058824
2017,0.0,1.0,0.0
