year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.5,0.5
1952,0.0,1.0,0.0
1953,0.0,0.6,0.4
1954,0.30303030303030304,0.42424242424242425,0.2727272727272727
1955,0.0,1.0,0.0
1956,0.4444444444444444,0.4444444444444444,0.1111111111111111
1957,0.375,0.625,0.0
1958,0.08333333333333333,0.9166666666666666,0.0
1959,0.125,0.75,0.125
1960,0.2727272727272727,0.7272727272727273,0.0
1961,0.0,1.0,0.0
1962,0.5,0.5,0.0
1963,0.23214285714285715,0.48214285714285715,0.2857142857142857
1964,0.34285714285714286,0.5714285714285714,0.08571428571428572
1965,0.5,0.4166666666666667,0.08333333333333333
1966,0.13333333333333333,0.6666666666666666,0.2
1967,0.3333333333333333,0.5555555555555556,0.1111111111111111
1968,0.08333333333333333,0.9166666666666666,0.0
1969,0.2608695652173913,0.6956521739130435,0.043478260869565216
1970,0.5,0.5,0.0
1971,0.1935483870967742,0.6451612903225806,0.16129032258064516
1972,0.23529411764705882,0.7647058823529411,0.0
1973,0.5833333333333334,0.3333333333333333,0.08333333333333333
1974,0.5333333333333333,0.4,0.06666666666666667
1975,0.13333333333333333,0.8666666666666667,0.0
1976,0.13636363636363635,0.7121212121212122,0.15151515151515152
1977,0.34615384615384615,0.5384615384615384,0.11538461538461539
1978,0.27941176470588236,0.5735294117647058,0.14705882352941177
1979,0.42105263157894735,0.5789473684210527,0.0
1980,0.23684210526315788,0.5263157894736842,0.23684210526315788
1981,0.4473684210526316,0.4473684210526316,0.10526315789473684
1982,0.15584415584415584,0.6363636363636364,0.2077922077922078
1983,0.16666666666666666,0.6666666666666666,0.16666666666666666
1984,0.26666666666666666,0.6666666666666666,0.06666666666666667
1985,0.25,0.7222222222222222,0.027777777777777776
1986,0.07142857142857142,0.6428571428571429,0.2857142857142857
1987,0.1,0.8,0.1
1988,0.16363636363636364,0.7636363636363637,0.07272727272727272
1989,0.10714285714285714,0.7857142857142857,0.10714285714285714
1990,0.4,0.48,0.12
1991,0.24,0.68,0.08
1992,0.16666666666666666,0.7619047619047619,0.07142857142857142
1993,0.2608695652173913,0.6304347826086957,0.10869565217391304
1994,0.23684210526315788,0.618421052631579,0.14473684210526316
1995,0.34285714285714286,0.6,0.05714285714285714
1996,0.2631578947368421,0.631578947368421,0.10526315789473684
1997,0.11842105263157894,0.8157894736842105,0.06578947368421052
1998,0.11290322580645161,0.7580645161290323,0.12903225806451613
1999,0.18,0.7,0.12
2000,0.2222222222222222,0.6666666666666666,0.1111111111111111
2001,0.265625,0.6875,0.046875
2002,0.25,0.6370967741935484,0.11290322580645161
2003,0.25,0.6637931034482759,0.08620689655172414
2004,0.2773722627737226,0.6277372262773723,0.0948905109489051
2005,0.1242603550295858,0.7455621301775148,0.1301775147928994
2006,0.23125,0.66875,0.1
2007,0.25675675675675674,0.6531531531531531,0.09009009009009009
2008,0.25,0.64375,0.10625
2009,0.17061611374407584,0.7440758293838863,0.08530805687203792
2010,0.18468468468468469,0.7072072072072072,0.10810810810810811
2011,0.19924812030075187,0.7030075187969925,0.09774436090225563
2012,0.1889763779527559,0.7165354330708661,0.09448818897637795
2013,0.2072072072072072,0.7117117117117117,0.08108108108108109
2014,0.2317596566523605,0.6738197424892703,0.0944206008583691
2015,0.22073578595317725,0.6555183946488294,0.12374581939799331
2016,0.21808510638297873,0.6861702127659575,0.09574468085106383
2017,0.25,0.6071428571428571,0.14285714285714285
