year,pos,neu,neg
1950,0.30952380952380953,0.5952380952380952,0.09523809523809523
1951,0.23529411764705882,0.7647058823529411,0.0
1952,0.2,0.8,0.0
1953,0.16666666666666666,0.6666666666666666,0.16666666666666666
1954,0.0,0.8333333333333334,0.16666666666666666
1955,0.16666666666666666,0.8333333333333334,0.0
1956,0.14814814814814814,0.7037037037037037,0.14814814814814814
1957,0.11627906976744186,0.7674418604651163,0.11627906976744186
1958,0.13333333333333333,0.8,0.06666666666666667
1959,0.043478260869565216,0.9130434782608695,0.043478260869565216
1960,0.06451612903225806,0.8548387096774194,0.08064516129032258
1961,0.2222222222222222,0.7407407407407407,0.037037037037037035
1962,0.1346153846153846,0.7884615384615384,0.07692307692307693
1963,0.25,0.6666666666666666,0.08333333333333333
1964,0.1891891891891892,0.6756756756756757,0.13513513513513514
1965,0.225,0.725,0.05
1966,0.11666666666666667,0.8,0.08333333333333333
1967,0.20253164556962025,0.759493670886076,0.0379746835443038
1968,0.2608695652173913,0.6956521739130435,0.043478260869565216
1969,0.17647058823529413,0.7647058823529411,0.058823529411764705
1970,0.17391304347826086,0.7391304347826086,0.08695652173913043
1971,0.20689655172413793,0.6896551724137931,0.10344827586206896
1972,0.16666666666666666,0.7,0.13333333333333333
1973,0.1,0.75,0.15
1974,0.15384615384615385,0.8076923076923077,0.038461538461538464
1975,0.16,0.76,0.08
1976,0.061224489795918366,0.6530612244897959,0.2857142857142857
1977,0.26666666666666666,0.7333333333333333,0.0
1978,0.14705882352941177,0.7941176470588235,0.058823529411764705
1979,0.25,0.75,0.0
1980,0.047619047619047616,0.8571428571428571,0.09523809523809523
1981,0.21739130434782608,0.6956521739130435,0.08695652173913043
1982,0.2,0.6857142857142857,0.11428571428571428
1983,0.12962962962962962,0.8518518518518519,0.018518518518518517
1984,0.17142857142857143,0.7142857142857143,0.11428571428571428
1985,0.08108108108108109,0.7297297297297297,0.1891891891891892
1986,0.21428571428571427,0.6857142857142857,0.1
1987,0.14814814814814814,0.7962962962962963,0.05555555555555555
1988,0.12962962962962962,0.7777777777777778,0.09259259259259259
1989,0.11363636363636363,0.8181818181818182,0.06818181818181818
1990,0.08571428571428572,0.8142857142857143,0.1
1991,0.12903225806451613,0.7419354838709677,0.12903225806451613
1992,0.17105263157894737,0.6842105263157895,0.14473684210526316
1993,0.14788732394366197,0.7887323943661971,0.06338028169014084
1994,0.18333333333333332,0.7416666666666667,0.075
1995,0.16666666666666666,0.7575757575757576,0.07575757575757576
1996,0.18461538461538463,0.7384615384615385,0.07692307692307693
1997,0.11538461538461539,0.8076923076923077,0.07692307692307693
1998,0.15384615384615385,0.7384615384615385,0.1076923076923077
1999,0.10526315789473684,0.868421052631579,0.02631578947368421
2000,0.15517241379310345,0.7758620689655172,0.06896551724137931
2001,0.10666666666666667,0.8933333333333333,0.0
2002,0.23809523809523808,0.6984126984126984,0.06349206349206349
2003,0.1590909090909091,0.7159090909090909,0.125
2004,0.13432835820895522,0.7164179104477612,0.14925373134328357
2005,0.19642857142857142,0.6904761904761905,0.1130952380952381
2006,0.13924050632911392,0.7468354430379747,0.11392405063291139
2007,0.13286713286713286,0.7342657342657343,0.13286713286713286
2008,0.18604651162790697,0.622093023255814,0.19186046511627908
2009,0.18834080717488788,0.672645739910314,0.13901345291479822
2010,0.1497584541062802,0.7391304347826086,0.1111111111111111
2011,0.16194331983805668,0.7246963562753036,0.11336032388663968
2012,0.18627450980392157,0.7320261437908496,0.08169934640522876
2013,0.19653179190751446,0.7023121387283237,0.10115606936416185
2014,0.19827586206896552,0.6609195402298851,0.14080459770114942
2015,0.17406143344709898,0.7030716723549488,0.12286689419795221
2016,0.21544715447154472,0.7276422764227642,0.056910569105691054
2017,0.1896551724137931,0.7413793103448276,0.06896551724137931
