year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,1.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.3333333333333333,0.6666666666666666,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,1.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,1.0,0.0,0.0
1986,0.0,1.0,0.0
1987,1.0,0.0,0.0
1988,0.5,0.5,0.0
1989,0.14285714285714285,0.8571428571428571,0.0
1990,0.4,0.6,0.0
1991,0.25,0.75,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.9230769230769231,0.07692307692307693
1995,0.0,0.9230769230769231,0.07692307692307693
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.25,0.75,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.0,0.875,0.125
2001,0.09090909090909091,0.9090909090909091,0.0
2002,0.06666666666666667,0.6666666666666666,0.26666666666666666
2003,0.1111111111111111,0.7777777777777778,0.1111111111111111
2004,0.25,0.75,0.0
2005,0.08571428571428572,0.7714285714285715,0.14285714285714285
2006,0.05,0.9,0.05
2007,0.13333333333333333,0.8666666666666667,0.0
2008,0.125,0.875,0.0
2009,0.175,0.775,0.05
2010,0.17142857142857143,0.7428571428571429,0.08571428571428572
2011,0.15384615384615385,0.8269230769230769,0.019230769230769232
2012,0.23076923076923078,0.7307692307692307,0.038461538461538464
2013,0.21212121212121213,0.7575757575757576,0.030303030303030304
2014,0.16666666666666666,0.7333333333333333,0.1
2015,0.16326530612244897,0.8163265306122449,0.02040816326530612
2016,0.11363636363636363,0.7727272727272727,0.11363636363636363
2017,0.2777777777777778,0.5555555555555556,0.16666666666666666
