year,pos,neu,neg
1950,0.25,0.75,0.0
1951,0.32,0.6,0.08
1952,0.1111111111111111,0.8888888888888888,0.0
1953,0.0,0.9285714285714286,0.07142857142857142
1954,0.1,0.9,0.0
1955,0.2857142857142857,0.6285714285714286,0.08571428571428572
1956,0.15789473684210525,0.7368421052631579,0.10526315789473684
1957,0.23529411764705882,0.7058823529411765,0.058823529411764705
1958,0.3,0.6,0.1
1959,0.0,1.0,0.0
1960,0.1518987341772152,0.6835443037974683,0.16455696202531644
1961,0.125,0.875,0.0
1962,0.22641509433962265,0.7547169811320755,0.018867924528301886
1963,0.07142857142857142,0.8571428571428571,0.07142857142857142
1964,0.23809523809523808,0.7142857142857143,0.047619047619047616
1965,0.25,0.625,0.125
1966,0.2,0.7,0.1
1967,0.125,0.8125,0.0625
1968,0.1951219512195122,0.7073170731707317,0.0975609756097561
1969,0.2,0.7,0.1
1970,0.25,0.75,0.0
1971,0.16666666666666666,0.6666666666666666,0.16666666666666666
1972,0.17857142857142858,0.7678571428571429,0.05357142857142857
1973,0.08333333333333333,0.9166666666666666,0.0
1974,0.25806451612903225,0.6774193548387096,0.06451612903225806
1975,0.15,0.75,0.1
1976,0.09375,0.875,0.03125
1977,0.17647058823529413,0.7647058823529411,0.058823529411764705
1978,0.0,0.8461538461538461,0.15384615384615385
1979,0.0,1.0,0.0
1980,0.2,0.8,0.0
1981,0.06666666666666667,0.7333333333333333,0.2
1982,0.1111111111111111,0.8148148148148148,0.07407407407407407
1983,0.16666666666666666,0.75,0.08333333333333333
1984,0.0,0.9333333333333333,0.06666666666666667
1985,0.2,0.75,0.05
1986,0.3684210526315789,0.6052631578947368,0.02631578947368421
1987,0.1206896551724138,0.7413793103448276,0.13793103448275862
1988,0.1724137931034483,0.7586206896551724,0.06896551724137931
1989,0.3333333333333333,0.6190476190476191,0.047619047619047616
1990,0.2608695652173913,0.6956521739130435,0.043478260869565216
1991,0.18181818181818182,0.7575757575757576,0.06060606060606061
1992,0.11764705882352941,0.8529411764705882,0.029411764705882353
1993,0.09523809523809523,0.7142857142857143,0.19047619047619047
1994,0.21428571428571427,0.6428571428571429,0.14285714285714285
1995,0.12962962962962962,0.7777777777777778,0.09259259259259259
1996,0.47619047619047616,0.5238095238095238,0.0
1997,0.14583333333333334,0.7291666666666666,0.125
1998,0.14705882352941177,0.7941176470588235,0.058823529411764705
1999,0.2111111111111111,0.7444444444444445,0.044444444444444446
2000,0.2191780821917808,0.726027397260274,0.0547945205479452
2001,0.1694915254237288,0.7627118644067796,0.06779661016949153
2002,0.1511627906976744,0.7325581395348837,0.11627906976744186
2003,0.20224719101123595,0.6741573033707865,0.12359550561797752
2004,0.17894736842105263,0.7789473684210526,0.042105263157894736
2005,0.14285714285714285,0.7936507936507936,0.06349206349206349
2006,0.24166666666666667,0.6333333333333333,0.125
2007,0.2235294117647059,0.6941176470588235,0.08235294117647059
2008,0.11702127659574468,0.7553191489361702,0.1276595744680851
2009,0.175,0.7333333333333333,0.09166666666666666
2010,0.13178294573643412,0.7906976744186046,0.07751937984496124
2011,0.14285714285714285,0.7321428571428571,0.125
2012,0.15602836879432624,0.7659574468085106,0.07801418439716312
2013,0.16891891891891891,0.777027027027027,0.05405405405405406
2014,0.13157894736842105,0.7631578947368421,0.10526315789473684
2015,0.18452380952380953,0.75,0.06547619047619048
2016,0.10084033613445378,0.7983193277310925,0.10084033613445378
2017,0.25,0.6153846153846154,0.1346153846153846
