year,pos,neu,neg
1950,0.0,0.7142857142857143,0.2857142857142857
1951,0.0,0.0,0.0
1952,1.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,1.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.5,0.0,0.5
1965,0.0,0.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.5,0.0,0.5
1974,0.0,1.0,0.0
1975,1.0,0.0,0.0
1976,0.5,0.5,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.8333333333333334,0.16666666666666666
1980,0.6666666666666666,0.3333333333333333,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.25,0.75,0.0
1984,0.14285714285714285,0.8571428571428571,0.0
1985,0.0,1.0,0.0
1986,0.1111111111111111,0.7777777777777778,0.1111111111111111
1987,0.10526315789473684,0.8947368421052632,0.0
1988,0.07142857142857142,0.7142857142857143,0.21428571428571427
1989,0.25,0.75,0.0
1990,0.2222222222222222,0.6111111111111112,0.16666666666666666
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.1111111111111111,0.8888888888888888,0.0
1993,0.14285714285714285,0.7857142857142857,0.07142857142857142
1994,0.16,0.72,0.12
1995,0.25,0.6666666666666666,0.08333333333333333
1996,0.0,0.8888888888888888,0.1111111111111111
1997,0.045454545454545456,0.8636363636363636,0.09090909090909091
1998,0.23076923076923078,0.6538461538461539,0.11538461538461539
1999,0.041666666666666664,0.9166666666666666,0.041666666666666664
2000,0.24324324324324326,0.7297297297297297,0.02702702702702703
2001,0.0,1.0,0.0
2002,0.2727272727272727,0.696969696969697,0.030303030303030304
2003,0.03125,0.78125,0.1875
2004,0.23214285714285715,0.6785714285714286,0.08928571428571429
2005,0.2413793103448276,0.7241379310344828,0.034482758620689655
2006,0.3611111111111111,0.6111111111111112,0.027777777777777776
2007,0.10606060606060606,0.8636363636363636,0.030303030303030304
2008,0.20967741935483872,0.7419354838709677,0.04838709677419355
2009,0.17721518987341772,0.7468354430379747,0.0759493670886076
2010,0.1794871794871795,0.782051282051282,0.038461538461538464
2011,0.2631578947368421,0.6710526315789473,0.06578947368421052
2012,0.16129032258064516,0.8172043010752689,0.021505376344086023
2013,0.16,0.76,0.08
2014,0.22058823529411764,0.7058823529411765,0.07352941176470588
2015,0.15789473684210525,0.7719298245614035,0.07017543859649122
2016,0.1232876712328767,0.8082191780821918,0.0684931506849315
2017,0.1935483870967742,0.7741935483870968,0.03225806451612903
