year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,0.75,0.25
1952,0.2857142857142857,0.7142857142857143,0.0
1953,0.3333333333333333,0.6666666666666666,0.0
1954,0.18181818181818182,0.8181818181818182,0.0
1955,0.2692307692307692,0.6923076923076923,0.038461538461538464
1956,0.3333333333333333,0.5666666666666667,0.1
1957,0.1935483870967742,0.6451612903225806,0.16129032258064516
1958,0.0,0.875,0.125
1959,0.25,0.6666666666666666,0.08333333333333333
1960,0.2222222222222222,0.6666666666666666,0.1111111111111111
1961,0.14285714285714285,0.8571428571428571,0.0
1962,0.1111111111111111,0.5555555555555556,0.3333333333333333
1963,0.2857142857142857,0.5,0.21428571428571427
1964,0.0,1.0,0.0
1965,0.0,0.875,0.125
1966,0.0,1.0,0.0
1967,0.0,0.9230769230769231,0.07692307692307693
1968,0.15,0.75,0.1
1969,0.2727272727272727,0.7272727272727273,0.0
1970,0.03571428571428571,0.9285714285714286,0.03571428571428571
1971,0.0,1.0,0.0
1972,0.2631578947368421,0.5789473684210527,0.15789473684210525
1973,0.2692307692307692,0.6923076923076923,0.038461538461538464
1974,0.0,0.9411764705882353,0.058823529411764705
1975,0.26666666666666666,0.6666666666666666,0.06666666666666667
1976,0.08,0.68,0.24
1977,0.2222222222222222,0.7777777777777778,0.0
1978,0.06666666666666667,0.8666666666666667,0.06666666666666667
1979,0.08333333333333333,0.9166666666666666,0.0
1980,0.0,0.7777777777777778,0.2222222222222222
1981,0.13333333333333333,0.6666666666666666,0.2
1982,0.16666666666666666,0.7222222222222222,0.1111111111111111
1983,0.2857142857142857,0.42857142857142855,0.2857142857142857
1984,0.3076923076923077,0.6153846153846154,0.07692307692307693
1985,0.2727272727272727,0.5454545454545454,0.18181818181818182
1986,0.25,0.75,0.0
1987,0.12903225806451613,0.7741935483870968,0.0967741935483871
1988,0.0,0.5,0.5
1989,0.2,0.8,0.0
1990,0.13333333333333333,0.6666666666666666,0.2
1991,0.15384615384615385,0.8461538461538461,0.0
1992,0.36363636363636365,0.6363636363636364,0.0
1993,0.2,0.6,0.2
1994,0.6666666666666666,0.3333333333333333,0.0
1995,0.23076923076923078,0.5384615384615384,0.23076923076923078
1996,0.17647058823529413,0.6470588235294118,0.17647058823529413
1997,0.2857142857142857,0.42857142857142855,0.2857142857142857
1998,0.0,1.0,0.0
1999,0.1,0.7,0.2
2000,0.23076923076923078,0.6923076923076923,0.07692307692307693
2001,0.2,0.68,0.12
2002,0.0,0.8636363636363636,0.13636363636363635
2003,0.21428571428571427,0.7142857142857143,0.07142857142857142
2004,0.20689655172413793,0.6551724137931034,0.13793103448275862
2005,0.3333333333333333,0.6111111111111112,0.05555555555555555
2006,0.08,0.88,0.04
2007,0.10714285714285714,0.6964285714285714,0.19642857142857142
2008,0.09090909090909091,0.6818181818181818,0.22727272727272727
2009,0.12244897959183673,0.7346938775510204,0.14285714285714285
2010,0.13793103448275862,0.6551724137931034,0.20689655172413793
2011,0.05263157894736842,0.7894736842105263,0.15789473684210525
2012,0.11940298507462686,0.746268656716418,0.13432835820895522
2013,0.08163265306122448,0.7448979591836735,0.17346938775510204
2014,0.1875,0.625,0.1875
2015,0.11290322580645161,0.7903225806451613,0.0967741935483871
2016,0.1702127659574468,0.723404255319149,0.10638297872340426
2017,0.11764705882352941,0.6588235294117647,0.2235294117647059
