year,pos,neu,neg
1950,0.09523809523809523,0.9047619047619048,0.0
1951,0.0,1.0,0.0
1952,0.16666666666666666,0.8333333333333334,0.0
1953,0.0,0.9,0.1
1954,0.23076923076923078,0.7692307692307693,0.0
1955,0.11764705882352941,0.8823529411764706,0.0
1956,0.23076923076923078,0.7692307692307693,0.0
1957,0.02702702702702703,0.918918918918919,0.05405405405405406
1958,0.16666666666666666,0.8333333333333334,0.0
1959,0.05,0.85,0.1
1960,0.1111111111111111,0.8333333333333334,0.05555555555555555
1961,0.25,0.6666666666666666,0.08333333333333333
1962,0.28,0.68,0.04
1963,0.1875,0.75,0.0625
1964,0.07894736842105263,0.7631578947368421,0.15789473684210525
1965,0.17647058823529413,0.7647058823529411,0.058823529411764705
1966,0.23076923076923078,0.717948717948718,0.05128205128205128
1967,0.15384615384615385,0.8076923076923077,0.038461538461538464
1968,0.25,0.5833333333333334,0.16666666666666666
1969,0.1,0.7,0.2
1970,0.0,0.875,0.125
1971,0.18181818181818182,0.7727272727272727,0.045454545454545456
1972,0.23076923076923078,0.7307692307692307,0.038461538461538464
1973,0.10638297872340426,0.7446808510638298,0.14893617021276595
1974,0.1,0.8,0.1
1975,0.21052631578947367,0.7368421052631579,0.05263157894736842
1976,0.06451612903225806,0.8548387096774194,0.08064516129032258
1977,0.06666666666666667,0.8666666666666667,0.06666666666666667
1978,0.05714285714285714,0.8285714285714286,0.11428571428571428
1979,0.1875,0.75,0.0625
1980,0.06451612903225806,0.8387096774193549,0.0967741935483871
1981,0.17857142857142858,0.6428571428571429,0.17857142857142858
1982,0.11538461538461539,0.8076923076923077,0.07692307692307693
1983,0.13043478260869565,0.7391304347826086,0.13043478260869565
1984,0.15151515151515152,0.7272727272727273,0.12121212121212122
1985,0.13793103448275862,0.7241379310344828,0.13793103448275862
1986,0.125,0.84375,0.03125
1987,0.14705882352941177,0.8235294117647058,0.029411764705882353
1988,0.2,0.6333333333333333,0.16666666666666666
1989,0.20833333333333334,0.75,0.041666666666666664
1990,0.12903225806451613,0.8064516129032258,0.06451612903225806
1991,0.06976744186046512,0.9069767441860465,0.023255813953488372
1992,0.1111111111111111,0.8148148148148148,0.07407407407407407
1993,0.17391304347826086,0.8260869565217391,0.0
1994,0.4,0.5,0.1
1995,0.06666666666666667,0.8333333333333334,0.1
1996,0.13333333333333333,0.8333333333333334,0.03333333333333333
1997,0.07407407407407407,0.8888888888888888,0.037037037037037035
1998,0.1111111111111111,0.6666666666666666,0.2222222222222222
1999,0.14285714285714285,0.8095238095238095,0.047619047619047616
2000,0.13043478260869565,0.8260869565217391,0.043478260869565216
2001,0.10526315789473684,0.8596491228070176,0.03508771929824561
2002,0.2727272727272727,0.6060606060606061,0.12121212121212122
2003,0.23333333333333334,0.7,0.06666666666666667
2004,0.34210526315789475,0.6578947368421053,0.0
2005,0.17391304347826086,0.7391304347826086,0.08695652173913043
2006,0.05555555555555555,0.9074074074074074,0.037037037037037035
2007,0.23636363636363636,0.7272727272727273,0.03636363636363636
2008,0.1864406779661017,0.7796610169491526,0.03389830508474576
2009,0.1276595744680851,0.8297872340425532,0.0425531914893617
2010,0.08333333333333333,0.7976190476190477,0.11904761904761904
2011,0.14814814814814814,0.7962962962962963,0.05555555555555555
2012,0.21008403361344538,0.7310924369747899,0.058823529411764705
2013,0.12941176470588237,0.8117647058823529,0.058823529411764705
2014,0.16666666666666666,0.7666666666666667,0.06666666666666667
2015,0.09090909090909091,0.859504132231405,0.049586776859504134
2016,0.09375,0.90625,0.0
2017,0.1935483870967742,0.6774193548387096,0.12903225806451613
