year,pos,neu,neg
1950,0.07692307692307693,0.8846153846153846,0.038461538461538464
1951,0.1,0.8,0.1
1952,0.2222222222222222,0.6666666666666666,0.1111111111111111
1953,0.0,1.0,0.0
1954,0.5,0.5,0.0
1955,0.25,0.75,0.0
1956,0.16666666666666666,0.5,0.3333333333333333
1957,0.23076923076923078,0.6153846153846154,0.15384615384615385
1958,0.0,1.0,0.0
1959,0.4,0.6,0.0
1960,0.26666666666666666,0.5333333333333333,0.2
1961,0.17647058823529413,0.7058823529411765,0.11764705882352941
1962,0.07142857142857142,0.7857142857142857,0.14285714285714285
1963,0.16666666666666666,0.75,0.08333333333333333
1964,0.1,0.8,0.1
1965,0.09523809523809523,0.7142857142857143,0.19047619047619047
1966,0.2222222222222222,0.6666666666666666,0.1111111111111111
1967,0.15625,0.75,0.09375
1968,0.25,0.6666666666666666,0.08333333333333333
1969,0.1,0.8,0.1
1970,0.12,0.8,0.08
1971,0.07692307692307693,0.8461538461538461,0.07692307692307693
1972,0.1111111111111111,0.6666666666666666,0.2222222222222222
1973,0.10344827586206896,0.7241379310344828,0.1724137931034483
1974,0.23809523809523808,0.7142857142857143,0.047619047619047616
1975,0.05263157894736842,0.8421052631578947,0.10526315789473684
1976,0.25,0.5625,0.1875
1977,0.09090909090909091,0.9090909090909091,0.0
1978,0.23076923076923078,0.6923076923076923,0.07692307692307693
1979,0.1111111111111111,0.7777777777777778,0.1111111111111111
1980,0.2857142857142857,0.5714285714285714,0.14285714285714285
1981,0.2727272727272727,0.7272727272727273,0.0
1982,0.2,0.8,0.0
1983,0.14285714285714285,0.8571428571428571,0.0
1984,0.16666666666666666,0.75,0.08333333333333333
1985,0.2692307692307692,0.6153846153846154,0.11538461538461539
1986,0.20689655172413793,0.6896551724137931,0.10344827586206896
1987,0.07692307692307693,0.7692307692307693,0.15384615384615385
1988,0.14285714285714285,0.7142857142857143,0.14285714285714285
1989,0.21739130434782608,0.6521739130434783,0.13043478260869565
1990,0.05714285714285714,0.8857142857142857,0.05714285714285714
1991,0.09523809523809523,0.8571428571428571,0.047619047619047616
1992,0.08823529411764706,0.7941176470588235,0.11764705882352941
1993,0.3157894736842105,0.5263157894736842,0.15789473684210525
1994,0.0,1.0,0.0
1995,0.13043478260869565,0.7391304347826086,0.13043478260869565
1996,0.09090909090909091,0.8181818181818182,0.09090909090909091
1997,0.05555555555555555,0.8888888888888888,0.05555555555555555
1998,0.2903225806451613,0.6129032258064516,0.0967741935483871
1999,0.3125,0.6875,0.0
2000,0.17647058823529413,0.7647058823529411,0.058823529411764705
2001,0.03333333333333333,0.9,0.06666666666666667
2002,0.125,0.825,0.05
2003,0.12,0.84,0.04
2004,0.11363636363636363,0.7727272727272727,0.11363636363636363
2005,0.17073170731707318,0.7317073170731707,0.0975609756097561
2006,0.1774193548387097,0.7580645161290323,0.06451612903225806
2007,0.06779661016949153,0.8135593220338984,0.11864406779661017
2008,0.2,0.7411764705882353,0.058823529411764705
2009,0.12,0.8,0.08
2010,0.14814814814814814,0.7851851851851852,0.06666666666666667
2011,0.18584070796460178,0.6902654867256637,0.12389380530973451
2012,0.19047619047619047,0.7261904761904762,0.08333333333333333
2013,0.19469026548672566,0.7699115044247787,0.035398230088495575
2014,0.12949640287769784,0.7338129496402878,0.1366906474820144
2015,0.1919191919191919,0.7373737373737373,0.0707070707070707
2016,0.1721311475409836,0.6967213114754098,0.13114754098360656
2017,0.16666666666666666,0.7407407407407407,0.09259259259259259
