year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,1.0,0.0
1954,0.3333333333333333,0.6666666666666666,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.2,0.8,0.0
1961,0.0,1.0,0.0
1962,0.5,0.5,0.0
1963,1.0,0.0,0.0
1964,0.0,0.0,0.0
1965,1.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.25,0.75,0.0
1973,0.0,0.0,0.0
1974,0.0,0.8,0.2
1975,0.125,0.75,0.125
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.8,0.2
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.0,0.6666666666666666,0.3333333333333333
1985,0.2857142857142857,0.7142857142857143,0.0
1986,0.0,1.0,0.0
1987,0.3333333333333333,0.6666666666666666,0.0
1988,0.2,0.8,0.0
1989,1.0,0.0,0.0
1990,0.5,0.5,0.0
1991,0.0,1.0,0.0
1992,0.2,0.8,0.0
1993,0.0,0.0,0.0
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.3333333333333333,0.6666666666666666,0.0
1997,0.25,0.75,0.0
1998,0.0,1.0,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.0,0.8571428571428571,0.14285714285714285
2001,0.42857142857142855,0.42857142857142855,0.14285714285714285
2002,0.3333333333333333,0.5,0.16666666666666666
2003,0.26666666666666666,0.6666666666666666,0.06666666666666667
2004,0.09090909090909091,0.9090909090909091,0.0
2005,0.3,0.6,0.1
2006,0.4444444444444444,0.5555555555555556,0.0
2007,0.3125,0.625,0.0625
2008,0.2,0.8,0.0
2009,0.08695652173913043,0.8260869565217391,0.08695652173913043
2010,0.5384615384615384,0.3076923076923077,0.15384615384615385
2011,0.37142857142857144,0.6,0.02857142857142857
2012,0.3333333333333333,0.6060606060606061,0.06060606060606061
2013,0.38095238095238093,0.6190476190476191,0.0
2014,0.2,0.6,0.2
2015,0.2857142857142857,0.7142857142857143,0.0
2016,0.32432432432432434,0.6216216216216216,0.05405405405405406
2017,0.0,1.0,0.0
