year,pos,neu,neg
1950,0.3125,0.6875,0.0
1951,0.3333333333333333,0.6363636363636364,0.030303030303030304
1952,0.06451612903225806,0.9354838709677419,0.0
1953,0.21739130434782608,0.6956521739130435,0.08695652173913043
1954,0.13333333333333333,0.8222222222222222,0.044444444444444446
1955,0.0625,0.84375,0.09375
1956,0.12903225806451613,0.8387096774193549,0.03225806451612903
1957,0.175,0.8,0.025
1958,0.18032786885245902,0.7540983606557377,0.06557377049180328
1959,0.11538461538461539,0.8076923076923077,0.07692307692307693
1960,0.12857142857142856,0.8,0.07142857142857142
1961,0.125,0.7857142857142857,0.08928571428571429
1962,0.09090909090909091,0.7878787878787878,0.12121212121212122
1963,0.11538461538461539,0.8076923076923077,0.07692307692307693
1964,0.08333333333333333,0.7291666666666666,0.1875
1965,0.12280701754385964,0.7894736842105263,0.08771929824561403
1966,0.12121212121212122,0.8484848484848485,0.030303030303030304
1967,0.11940298507462686,0.7761194029850746,0.1044776119402985
1968,0.029411764705882353,0.7941176470588235,0.17647058823529413
1969,0.1891891891891892,0.6756756756756757,0.13513513513513514
1970,0.22857142857142856,0.7142857142857143,0.05714285714285714
1971,0.08888888888888889,0.7555555555555555,0.15555555555555556
1972,0.14634146341463414,0.7560975609756098,0.0975609756097561
1973,0.13043478260869565,0.8260869565217391,0.043478260869565216
1974,0.18461538461538463,0.7384615384615385,0.07692307692307693
1975,0.33962264150943394,0.6037735849056604,0.05660377358490566
1976,0.10256410256410256,0.8205128205128205,0.07692307692307693
1977,0.1346153846153846,0.8269230769230769,0.038461538461538464
1978,0.21212121212121213,0.696969696969697,0.09090909090909091
1979,0.13793103448275862,0.7586206896551724,0.10344827586206896
1980,0.18604651162790697,0.7209302325581395,0.09302325581395349
1981,0.16883116883116883,0.6883116883116883,0.14285714285714285
1982,0.19230769230769232,0.7307692307692307,0.07692307692307693
1983,0.13043478260869565,0.782608695652174,0.08695652173913043
1984,0.21153846153846154,0.6730769230769231,0.11538461538461539
1985,0.11538461538461539,0.7884615384615384,0.09615384615384616
1986,0.16363636363636364,0.7636363636363637,0.07272727272727272
1987,0.20253164556962025,0.7341772151898734,0.06329113924050633
1988,0.1323529411764706,0.75,0.11764705882352941
1989,0.1568627450980392,0.7254901960784313,0.11764705882352941
1990,0.2222222222222222,0.6666666666666666,0.1111111111111111
1991,0.17647058823529413,0.7941176470588235,0.029411764705882353
1992,0.1797752808988764,0.6741573033707865,0.14606741573033707
1993,0.13186813186813187,0.8131868131868132,0.054945054945054944
1994,0.13793103448275862,0.7931034482758621,0.06896551724137931
1995,0.08571428571428572,0.7571428571428571,0.15714285714285714
1996,0.08641975308641975,0.8395061728395061,0.07407407407407407
1997,0.11627906976744186,0.8488372093023255,0.03488372093023256
1998,0.11842105263157894,0.7236842105263158,0.15789473684210525
1999,0.16666666666666666,0.71875,0.11458333333333333
2000,0.06862745098039216,0.7156862745098039,0.21568627450980393
2001,0.2421875,0.65625,0.1015625
2002,0.13986013986013987,0.7342657342657343,0.1258741258741259
2003,0.09770114942528736,0.7931034482758621,0.10919540229885058
2004,0.19540229885057472,0.7011494252873564,0.10344827586206896
2005,0.13736263736263737,0.7692307692307693,0.09340659340659341
2006,0.1793478260869565,0.7445652173913043,0.07608695652173914
2007,0.1262135922330097,0.7475728155339806,0.1262135922330097
2008,0.15135135135135136,0.7297297297297297,0.11891891891891893
2009,0.1330049261083744,0.7832512315270936,0.08374384236453201
2010,0.11372549019607843,0.796078431372549,0.09019607843137255
2011,0.10661764705882353,0.7536764705882353,0.13970588235294118
2012,0.18352059925093633,0.7191011235955056,0.09737827715355805
2013,0.17407407407407408,0.7333333333333333,0.09259259259259259
2014,0.15960912052117263,0.742671009771987,0.09771986970684039
2015,0.1039426523297491,0.7992831541218638,0.0967741935483871
2016,0.08444444444444445,0.8222222222222222,0.09333333333333334
2017,0.1310344827586207,0.7655172413793103,0.10344827586206896
