year,pos,neu,neg
1950,0.1,0.7,0.2
1951,0.0,0.5,0.5
1952,0.5,0.5,0.0
1953,0.0,0.0,1.0
1954,0.0,0.0,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,1.0,0.0,0.0
1957,0.3333333333333333,0.3333333333333333,0.3333333333333333
1958,0.0,0.75,0.25
1959,0.23076923076923078,0.7692307692307693,0.0
1960,0.25,0.75,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.5,0.5
1964,0.0,1.0,0.0
1965,0.05,0.85,0.1
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.125,0.5,0.375
1968,0.0,0.5,0.5
1969,0.2,0.8,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.8333333333333334,0.16666666666666666
1973,0.3333333333333333,0.3333333333333333,0.3333333333333333
1974,0.0,1.0,0.0
1975,0.2222222222222222,0.5555555555555556,0.2222222222222222
1976,0.125,0.75,0.125
1977,0.3333333333333333,0.6111111111111112,0.05555555555555555
1978,0.25,0.75,0.0
1979,0.5,0.5,0.0
1980,0.0,0.5,0.5
1981,0.0,1.0,0.0
1982,0.25,0.5,0.25
1983,0.3333333333333333,0.3333333333333333,0.3333333333333333
1984,0.0,1.0,0.0
1985,0.3333333333333333,0.4444444444444444,0.2222222222222222
1986,0.2857142857142857,0.7142857142857143,0.0
1987,0.25,0.75,0.0
1988,0.16666666666666666,0.6666666666666666,0.16666666666666666
1989,1.0,0.0,0.0
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.4444444444444444,0.5555555555555556,0.0
1992,0.16666666666666666,0.6666666666666666,0.16666666666666666
1993,0.16666666666666666,0.8333333333333334,0.0
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.125,0.8125,0.0625
1996,0.1111111111111111,0.7777777777777778,0.1111111111111111
1997,0.19230769230769232,0.5769230769230769,0.23076923076923078
1998,0.16417910447761194,0.746268656716418,0.08955223880597014
1999,0.4,0.4,0.2
2000,0.21428571428571427,0.75,0.03571428571428571
2001,0.2857142857142857,0.7142857142857143,0.0
2002,0.16,0.72,0.12
2003,0.4782608695652174,0.5217391304347826,0.0
2004,0.5833333333333334,0.36666666666666664,0.05
2005,0.2,0.75,0.05
2006,0.1111111111111111,0.7037037037037037,0.18518518518518517
2007,0.26851851851851855,0.5462962962962963,0.18518518518518517
2008,0.1951219512195122,0.6341463414634146,0.17073170731707318
2009,0.21978021978021978,0.6263736263736264,0.15384615384615385
2010,0.3787878787878788,0.5151515151515151,0.10606060606060606
2011,0.31645569620253167,0.5569620253164557,0.12658227848101267
2012,0.2876712328767123,0.6027397260273972,0.1095890410958904
2013,0.2413793103448276,0.6206896551724138,0.13793103448275862
2014,0.28225806451612906,0.6129032258064516,0.10483870967741936
2015,0.36885245901639346,0.48360655737704916,0.14754098360655737
2016,0.2909090909090909,0.6181818181818182,0.09090909090909091
2017,0.3333333333333333,0.6133333333333333,0.05333333333333334
