year,pos,neu,neg
1950,0.75,0.25,0.0
1951,0.6,0.4,0.0
1952,0.42857142857142855,0.2857142857142857,0.2857142857142857
1953,1.0,0.0,0.0
1954,1.0,0.0,0.0
1955,1.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.9166666666666666,0.08333333333333333,0.0
1958,0.6666666666666666,0.3333333333333333,0.0
1959,0.8,0.2,0.0
1960,0.5714285714285714,0.42857142857142855,0.0
1961,0.5,0.5,0.0
1962,1.0,0.0,0.0
1963,0.8,0.1,0.1
1964,0.75,0.125,0.125
1965,0.16666666666666666,0.6666666666666666,0.16666666666666666
1966,0.75,0.1875,0.0625
1967,0.6666666666666666,0.3333333333333333,0.0
1968,0.6111111111111112,0.3888888888888889,0.0
1969,0.7,0.3,0.0
1970,1.0,0.0,0.0
1971,0.5714285714285714,0.2857142857142857,0.14285714285714285
1972,0.75,0.25,0.0
1973,0.8823529411764706,0.058823529411764705,0.058823529411764705
1974,0.45454545454545453,0.45454545454545453,0.09090909090909091
1975,0.631578947368421,0.21052631578947367,0.15789473684210525
1976,0.7307692307692307,0.23076923076923078,0.038461538461538464
1977,0.8571428571428571,0.14285714285714285,0.0
1978,0.6666666666666666,0.16666666666666666,0.16666666666666666
1979,0.5714285714285714,0.2857142857142857,0.14285714285714285
1980,0.6666666666666666,0.3333333333333333,0.0
1981,0.8461538461538461,0.07692307692307693,0.07692307692307693
1982,0.6923076923076923,0.28205128205128205,0.02564102564102564
1983,0.782608695652174,0.21739130434782608,0.0
1984,0.6470588235294118,0.35294117647058826,0.0
1985,0.5384615384615384,0.46153846153846156,0.0
1986,0.7857142857142857,0.21428571428571427,0.0
1987,0.8260869565217391,0.13043478260869565,0.043478260869565216
1988,0.88,0.12,0.0
1989,0.7435897435897436,0.1794871794871795,0.07692307692307693
1990,0.7916666666666666,0.16666666666666666,0.041666666666666664
1991,0.8636363636363636,0.09090909090909091,0.045454545454545456
1992,0.8484848484848485,0.12121212121212122,0.030303030303030304
1993,0.8918918918918919,0.08108108108108109,0.02702702702702703
1994,0.6888888888888889,0.28888888888888886,0.022222222222222223
1995,0.7446808510638298,0.23404255319148937,0.02127659574468085
1996,0.8837209302325582,0.11627906976744186,0.0
1997,0.7142857142857143,0.2619047619047619,0.023809523809523808
1998,0.7111111111111111,0.2222222222222222,0.06666666666666667
1999,0.7435897435897436,0.2564102564102564,0.0
2000,0.813953488372093,0.13953488372093023,0.046511627906976744
2001,0.8541666666666666,0.125,0.020833333333333332
2002,0.7796610169491526,0.1864406779661017,0.03389830508474576
2003,0.7525773195876289,0.21649484536082475,0.030927835051546393
2004,0.6527777777777778,0.3472222222222222,0.0
2005,0.7862068965517242,0.18620689655172415,0.027586206896551724
2006,0.8244274809160306,0.1450381679389313,0.030534351145038167
2007,0.8231292517006803,0.17687074829931973,0.0
2008,0.7281553398058253,0.18446601941747573,0.08737864077669903
2009,0.7155555555555555,0.24444444444444444,0.04
2010,0.7224489795918367,0.24897959183673468,0.02857142857142857
2011,0.6995884773662552,0.23868312757201646,0.06172839506172839
2012,0.7692307692307693,0.18076923076923077,0.05
2013,0.7318007662835249,0.23371647509578544,0.034482758620689655
2014,0.7657657657657657,0.19369369369369369,0.04054054054054054
2015,0.7633802816901408,0.2,0.036619718309859155
2016,0.7939560439560439,0.17307692307692307,0.03296703296703297
2017,0.7682403433476395,0.1888412017167382,0.04291845493562232
