year,pos,neu,neg
1950,0.1,0.9,0.0
1951,0.4,0.6,0.0
1952,0.0,0.8,0.2
1953,0.0,1.0,0.0
1954,0.3333333333333333,0.5,0.16666666666666666
1955,0.14285714285714285,0.7857142857142857,0.07142857142857142
1956,0.25806451612903225,0.6451612903225806,0.0967741935483871
1957,0.27586206896551724,0.6896551724137931,0.034482758620689655
1958,0.09090909090909091,0.9090909090909091,0.0
1959,0.16666666666666666,0.5,0.3333333333333333
1960,0.2727272727272727,0.5454545454545454,0.18181818181818182
1961,0.2222222222222222,0.7777777777777778,0.0
1962,0.08333333333333333,0.8333333333333334,0.08333333333333333
1963,0.16666666666666666,0.8333333333333334,0.0
1964,0.2222222222222222,0.6666666666666666,0.1111111111111111
1965,0.16666666666666666,0.75,0.08333333333333333
1966,0.23076923076923078,0.6153846153846154,0.15384615384615385
1967,0.1111111111111111,0.7222222222222222,0.16666666666666666
1968,0.0,0.8181818181818182,0.18181818181818182
1969,0.42105263157894735,0.5789473684210527,0.0
1970,0.14814814814814814,0.7777777777777778,0.07407407407407407
1971,0.07692307692307693,0.8461538461538461,0.07692307692307693
1972,0.0,0.9,0.1
1973,0.11764705882352941,0.8823529411764706,0.0
1974,0.0,0.8947368421052632,0.10526315789473684
1975,0.07142857142857142,0.9285714285714286,0.0
1976,0.0,0.8571428571428571,0.14285714285714285
1977,0.16666666666666666,0.8333333333333334,0.0
1978,0.14285714285714285,0.7142857142857143,0.14285714285714285
1979,0.26666666666666666,0.6666666666666666,0.06666666666666667
1980,0.18181818181818182,0.6363636363636364,0.18181818181818182
1981,0.125,0.8125,0.0625
1982,0.4,0.4,0.2
1983,0.058823529411764705,0.8823529411764706,0.058823529411764705
1984,0.1111111111111111,0.8888888888888888,0.0
1985,0.0,0.9444444444444444,0.05555555555555555
1986,0.05,0.95,0.0
1987,0.14285714285714285,0.5714285714285714,0.2857142857142857
1988,0.21428571428571427,0.5714285714285714,0.21428571428571427
1989,0.05263157894736842,0.8421052631578947,0.10526315789473684
1990,0.2,0.6666666666666666,0.13333333333333333
1991,0.0,0.8333333333333334,0.16666666666666666
1992,0.0,0.9166666666666666,0.08333333333333333
1993,0.13333333333333333,0.8,0.06666666666666667
1994,0.05,0.75,0.2
1995,0.14285714285714285,0.8285714285714286,0.02857142857142857
1996,0.07407407407407407,0.8518518518518519,0.07407407407407407
1997,0.2413793103448276,0.6206896551724138,0.13793103448275862
1998,0.1111111111111111,0.8148148148148148,0.07407407407407407
1999,0.15151515151515152,0.8181818181818182,0.030303030303030304
2000,0.20512820512820512,0.6666666666666666,0.1282051282051282
2001,0.08333333333333333,0.75,0.16666666666666666
2002,0.10526315789473684,0.8157894736842105,0.07894736842105263
2003,0.14814814814814814,0.7777777777777778,0.07407407407407407
2004,0.17142857142857143,0.6571428571428571,0.17142857142857143
2005,0.1509433962264151,0.7547169811320755,0.09433962264150944
2006,0.13793103448275862,0.7931034482758621,0.06896551724137931
2007,0.10526315789473684,0.7543859649122807,0.14035087719298245
2008,0.07575757575757576,0.8333333333333334,0.09090909090909091
2009,0.0784313725490196,0.7254901960784313,0.19607843137254902
2010,0.0851063829787234,0.8723404255319149,0.0425531914893617
2011,0.10344827586206896,0.7586206896551724,0.13793103448275862
2012,0.047619047619047616,0.8253968253968254,0.12698412698412698
2013,0.11842105263157894,0.7368421052631579,0.14473684210526316
2014,0.14285714285714285,0.7532467532467533,0.1038961038961039
2015,0.05063291139240506,0.9113924050632911,0.0379746835443038
2016,0.14457831325301204,0.8072289156626506,0.04819277108433735
2017,0.14705882352941177,0.7352941176470589,0.11764705882352941
