year,pos,neu,neg
1950,0.0,1.0,0.0
1951,1.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,1.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.5,0.5,0.0
1961,0.0,1.0,0.0
1962,0.3333333333333333,0.3333333333333333,0.3333333333333333
1963,0.3333333333333333,0.5,0.16666666666666666
1964,0.25,0.75,0.0
1965,0.0,1.0,0.0
1966,0.0,0.75,0.25
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.10526315789473684,0.7368421052631579,0.15789473684210525
1970,0.25,0.25,0.5
1971,0.0,1.0,0.0
1972,1.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,1.0,0.0,0.0
1976,0.2,0.8,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.3333333333333333,0.6666666666666666,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.16666666666666666,0.8333333333333334,0.0
1984,0.2,0.8,0.0
1985,0.25,0.75,0.0
1986,0.25,0.75,0.0
1987,0.0,1.0,0.0
1988,0.0,0.8571428571428571,0.14285714285714285
1989,0.2222222222222222,0.6666666666666666,0.1111111111111111
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.14285714285714285,0.8571428571428571,0.0
1993,0.10526315789473684,0.8421052631578947,0.05263157894736842
1994,0.125,0.875,0.0
1995,0.0,1.0,0.0
1996,0.35294117647058826,0.5294117647058824,0.11764705882352941
1997,0.14285714285714285,0.7142857142857143,0.14285714285714285
1998,0.15384615384615385,0.8461538461538461,0.0
1999,0.2631578947368421,0.631578947368421,0.10526315789473684
2000,0.0,1.0,0.0
2001,0.0,0.8888888888888888,0.1111111111111111
2002,0.26666666666666666,0.6666666666666666,0.06666666666666667
2003,0.05555555555555555,0.8333333333333334,0.1111111111111111
2004,0.21739130434782608,0.6086956521739131,0.17391304347826086
2005,0.1368421052631579,0.7789473684210526,0.08421052631578947
2006,0.14130434782608695,0.7608695652173914,0.09782608695652174
2007,0.25,0.5625,0.1875
2008,0.18181818181818182,0.7878787878787878,0.030303030303030304
2009,0.1891891891891892,0.7567567567567568,0.05405405405405406
2010,0.23809523809523808,0.7142857142857143,0.047619047619047616
2011,0.13432835820895522,0.7761194029850746,0.08955223880597014
2012,0.22388059701492538,0.7014925373134329,0.07462686567164178
2013,0.10204081632653061,0.7959183673469388,0.10204081632653061
2014,0.1891891891891892,0.6891891891891891,0.12162162162162163
2015,0.2345679012345679,0.6666666666666666,0.09876543209876543
2016,0.35789473684210527,0.5473684210526316,0.09473684210526316
2017,0.3230769230769231,0.6307692307692307,0.046153846153846156
