year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.5,0.5,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,1.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.6666666666666666,0.3333333333333333,0.0
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,1.0,0.0,0.0
1989,0.18181818181818182,0.8181818181818182,0.0
1990,1.0,0.0,0.0
1991,0.0,0.5,0.5
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,0.0
1995,0.0,1.0,0.0
1996,0.0,0.0,0.0
1997,0.19230769230769232,0.7692307692307693,0.038461538461538464
1998,0.5714285714285714,0.42857142857142855,0.0
1999,0.2857142857142857,0.5714285714285714,0.14285714285714285
2000,0.16,0.68,0.16
2001,0.22727272727272727,0.7272727272727273,0.045454545454545456
2002,0.23076923076923078,0.7692307692307693,0.0
2003,0.3333333333333333,0.5333333333333333,0.13333333333333333
2004,0.25,0.6428571428571429,0.10714285714285714
2005,0.4,0.6,0.0
2006,0.13333333333333333,0.8,0.06666666666666667
2007,0.25,0.6666666666666666,0.08333333333333333
2008,0.25,0.75,0.0
2009,0.5,0.5,0.0
2010,0.2,0.75,0.05
2011,0.11764705882352941,0.5882352941176471,0.29411764705882354
2012,0.07692307692307693,0.8846153846153846,0.038461538461538464
2013,0.22058823529411764,0.7058823529411765,0.07352941176470588
2014,0.21428571428571427,0.5714285714285714,0.21428571428571427
2015,0.20833333333333334,0.75,0.041666666666666664
2016,0.359375,0.53125,0.109375
2017,0.19607843137254902,0.7647058823529411,0.0392156862745098
