year,pos,neu,neg
1950,0.75,0.25,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.5,0.5,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.2,0.8,0.0
1958,0.2,0.8,0.0
1959,0.0,0.5,0.5
1960,0.16666666666666666,0.8333333333333334,0.0
1961,0.0,1.0,0.0
1962,0.09090909090909091,0.9090909090909091,0.0
1963,0.4,0.6,0.0
1964,0.14285714285714285,0.7142857142857143,0.14285714285714285
1965,0.16666666666666666,0.6666666666666666,0.16666666666666666
1966,0.5,0.5,0.0
1967,0.09090909090909091,0.8181818181818182,0.09090909090909091
1968,0.4,0.4,0.2
1969,0.3333333333333333,0.5833333333333334,0.08333333333333333
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.3333333333333333,0.6666666666666666,0.0
1972,0.6,0.4,0.0
1973,0.0,0.5,0.5
1974,0.5,0.5,0.0
1975,0.3,0.6,0.1
1976,0.25,0.5,0.25
1977,0.75,0.25,0.0
1978,0.2631578947368421,0.631578947368421,0.10526315789473684
1979,0.1111111111111111,0.7777777777777778,0.1111111111111111
1980,0.3,0.6,0.1
1981,0.5,0.0,0.5
1982,0.25,0.5,0.25
1983,0.0,1.0,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.2,0.7,0.1
1986,0.42857142857142855,0.5714285714285714,0.0
1987,0.4,0.5,0.1
1988,0.4,0.6,0.0
1989,0.0,1.0,0.0
1990,0.7142857142857143,0.2857142857142857,0.0
1991,0.3333333333333333,0.5,0.16666666666666666
1992,0.16666666666666666,0.8333333333333334,0.0
1993,0.08333333333333333,0.75,0.16666666666666666
1994,0.2,0.8,0.0
1995,0.16666666666666666,0.75,0.08333333333333333
1996,0.14285714285714285,0.8571428571428571,0.0
1997,0.10526315789473684,0.8421052631578947,0.05263157894736842
1998,0.3333333333333333,0.6111111111111112,0.05555555555555555
1999,0.0625,0.8125,0.125
2000,0.34782608695652173,0.5217391304347826,0.13043478260869565
2001,0.19230769230769232,0.7307692307692307,0.07692307692307693
2002,0.2,0.76,0.04
2003,0.16666666666666666,0.7083333333333334,0.125
2004,0.4782608695652174,0.4782608695652174,0.043478260869565216
2005,0.2857142857142857,0.7142857142857143,0.0
2006,0.17647058823529413,0.8235294117647058,0.0
2007,0.4857142857142857,0.5142857142857142,0.0
2008,0.2857142857142857,0.6857142857142857,0.02857142857142857
2009,0.2727272727272727,0.696969696969697,0.030303030303030304
2010,0.40384615384615385,0.5961538461538461,0.0
2011,0.2765957446808511,0.6382978723404256,0.0851063829787234
2012,0.26666666666666666,0.6333333333333333,0.1
2013,0.23214285714285715,0.625,0.14285714285714285
2014,0.3088235294117647,0.6176470588235294,0.07352941176470588
2015,0.2857142857142857,0.6326530612244898,0.08163265306122448
2016,0.4,0.5428571428571428,0.05714285714285714
2017,0.35714285714285715,0.6071428571428571,0.03571428571428571
