year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.5,0.5,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.5,0.5,0.0
1966,0.0,1.0,0.0
1967,0.5,0.5,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.5,0.5
1976,0.0,0.0,0.0
1977,1.0,0.0,0.0
1978,0.0,1.0,0.0
1979,1.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.5,0.5,0.0
1986,0.0,1.0,0.0
1987,0.3333333333333333,0.6666666666666666,0.0
1988,0.0,0.0,0.0
1989,0.4,0.6,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.25,0.75,0.0
1993,0.0,0.0,0.0
1994,1.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,0.5,0.5
1997,0.5,0.5,0.0
1998,0.75,0.25,0.0
1999,1.0,0.0,0.0
2000,0.0,0.0,0.0
2001,0.0,1.0,0.0
2002,0.0,0.75,0.25
2003,0.375,0.5,0.125
2004,0.5,0.5,0.0
2005,0.25,0.75,0.0
2006,0.16666666666666666,0.8333333333333334,0.0
2007,0.0,0.8333333333333334,0.16666666666666666
2008,0.13333333333333333,0.8666666666666667,0.0
2009,0.2916666666666667,0.6666666666666666,0.041666666666666664
2010,0.2413793103448276,0.6896551724137931,0.06896551724137931
2011,0.4090909090909091,0.5909090909090909,0.0
2012,0.2727272727272727,0.6363636363636364,0.09090909090909091
2013,0.3684210526315789,0.631578947368421,0.0
2014,0.08333333333333333,0.75,0.16666666666666666
2015,0.23529411764705882,0.7647058823529411,0.0
2016,0.08695652173913043,0.8260869565217391,0.08695652173913043
2017,0.46153846153846156,0.34615384615384615,0.19230769230769232
