year,pos,neu,neg
1950,0.2727272727272727,0.6666666666666666,0.06060606060606061
1951,0.3220338983050847,0.6271186440677966,0.05084745762711865
1952,0.5,0.46,0.04
1953,0.225,0.65,0.125
1954,0.21212121212121213,0.7272727272727273,0.06060606060606061
1955,0.32857142857142857,0.6571428571428571,0.014285714285714285
1956,0.2711864406779661,0.6440677966101694,0.0847457627118644
1957,0.3968253968253968,0.5238095238095238,0.07936507936507936
1958,0.32142857142857145,0.6071428571428571,0.07142857142857142
1959,0.3177570093457944,0.5981308411214953,0.08411214953271028
1960,0.325,0.5375,0.1375
1961,0.2786885245901639,0.639344262295082,0.08196721311475409
1962,0.23255813953488372,0.6976744186046512,0.06976744186046512
1963,0.5238095238095238,0.40476190476190477,0.07142857142857142
1964,0.2054794520547945,0.684931506849315,0.1095890410958904
1965,0.3333333333333333,0.6041666666666666,0.0625
1966,0.2711864406779661,0.6271186440677966,0.1016949152542373
1967,0.22727272727272727,0.7121212121212122,0.06060606060606061
1968,0.3076923076923077,0.5846153846153846,0.1076923076923077
1969,0.35135135135135137,0.581081081081081,0.06756756756756757
1970,0.2708333333333333,0.625,0.10416666666666667
1971,0.3829787234042553,0.574468085106383,0.0425531914893617
1972,0.325,0.575,0.1
1973,0.41818181818181815,0.5636363636363636,0.01818181818181818
1974,0.2777777777777778,0.7222222222222222,0.0
1975,0.36507936507936506,0.49206349206349204,0.14285714285714285
1976,0.3382352941176471,0.6029411764705882,0.058823529411764705
1977,0.5045045045045045,0.44144144144144143,0.05405405405405406
1978,0.3283582089552239,0.5970149253731343,0.07462686567164178
1979,0.40384615384615385,0.5384615384615384,0.057692307692307696
1980,0.36231884057971014,0.5797101449275363,0.057971014492753624
1981,0.38028169014084506,0.5633802816901409,0.056338028169014086
1982,0.21333333333333335,0.7333333333333333,0.05333333333333334
1983,0.2803738317757009,0.6635514018691588,0.056074766355140186
1984,0.27956989247311825,0.5913978494623656,0.12903225806451613
1985,0.2857142857142857,0.5714285714285714,0.14285714285714285
1986,0.30303030303030304,0.6161616161616161,0.08080808080808081
1987,0.2912621359223301,0.5728155339805825,0.13592233009708737
1988,0.25,0.6458333333333334,0.10416666666666667
1989,0.3739130434782609,0.48695652173913045,0.1391304347826087
1990,0.26506024096385544,0.6506024096385542,0.08433734939759036
1991,0.35135135135135137,0.5202702702702703,0.12837837837837837
1992,0.30666666666666664,0.6266666666666667,0.06666666666666667
1993,0.32038834951456313,0.6213592233009708,0.05825242718446602
1994,0.39655172413793105,0.5344827586206896,0.06896551724137931
1995,0.348993288590604,0.5973154362416108,0.053691275167785234
1996,0.28846153846153844,0.6858974358974359,0.02564102564102564
1997,0.38095238095238093,0.5476190476190477,0.07142857142857142
1998,0.33064516129032256,0.5645161290322581,0.10483870967741936
1999,0.3526315789473684,0.5789473684210527,0.06842105263157895
2000,0.3192488262910798,0.5774647887323944,0.10328638497652583
2001,0.3317757009345794,0.5934579439252337,0.07476635514018691
2002,0.2792452830188679,0.6339622641509434,0.08679245283018867
2003,0.24696356275303644,0.6720647773279352,0.08097165991902834
2004,0.3362573099415205,0.5935672514619883,0.07017543859649122
2005,0.31351351351351353,0.6,0.08648648648648649
2006,0.30179028132992325,0.6240409207161125,0.0741687979539642
2007,0.25547445255474455,0.6520681265206812,0.09245742092457421
2008,0.24824355971896955,0.667447306791569,0.08430913348946135
2009,0.2981260647359455,0.6320272572402045,0.06984667802385008
2010,0.2783661119515885,0.6369137670196672,0.08472012102874432
2011,0.2798804780876494,0.646414342629482,0.07370517928286853
2012,0.29265255292652553,0.6288916562889165,0.0784557907845579
2013,0.3086816720257235,0.6157556270096463,0.07556270096463022
2014,0.320695102685624,0.5860979462875198,0.09320695102685624
2015,0.28654970760233917,0.631578947368421,0.08187134502923976
2016,0.29535864978902954,0.6146272855133614,0.090014064697609
2017,0.34523809523809523,0.5753968253968254,0.07936507936507936
