year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.18518518518518517,0.7037037037037037,0.1111111111111111
1953,0.125,0.875,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.8,0.2,0.0
1957,0.0,0.9,0.1
1958,0.29411764705882354,0.7058823529411765,0.0
1959,0.25,0.5,0.25
1960,0.125,0.875,0.0
1961,0.0,0.0,0.0
1962,0.5,0.5,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.5,0.25,0.25
1968,0.0,1.0,0.0
1969,0.25,0.5,0.25
1970,0.8,0.2,0.0
1971,0.16666666666666666,0.75,0.08333333333333333
1972,0.0,1.0,0.0
1973,1.0,0.0,0.0
1974,0.125,0.5972222222222222,0.2777777777777778
1975,0.0,1.0,0.0
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.0,0.0,0.0
1978,0.2,0.8,0.0
1979,0.1111111111111111,0.6666666666666666,0.2222222222222222
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.2,0.6,0.2
1983,1.0,0.0,0.0
1984,0.5714285714285714,0.2857142857142857,0.14285714285714285
1985,0.5,0.25,0.25
1986,0.0,1.0,0.0
1987,0.0,0.8888888888888888,0.1111111111111111
1988,0.0,1.0,0.0
1989,0.16666666666666666,0.7,0.13333333333333333
1990,0.2,0.4,0.4
1991,0.0,1.0,0.0
1992,1.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.043478260869565216,0.8260869565217391,0.13043478260869565
1995,0.2727272727272727,0.6363636363636364,0.09090909090909091
1996,0.0,0.6666666666666666,0.3333333333333333
1997,0.4166666666666667,0.5,0.08333333333333333
1998,0.1111111111111111,0.8518518518518519,0.037037037037037035
1999,0.17647058823529413,0.7941176470588235,0.029411764705882353
2000,0.09433962264150944,0.8679245283018868,0.03773584905660377
2001,0.15306122448979592,0.7142857142857143,0.1326530612244898
2002,0.19718309859154928,0.7887323943661971,0.014084507042253521
2003,0.09722222222222222,0.8194444444444444,0.08333333333333333
2004,0.13043478260869565,0.8260869565217391,0.043478260869565216
2005,0.15,0.6571428571428571,0.19285714285714287
2006,0.18181818181818182,0.7272727272727273,0.09090909090909091
2007,0.12307692307692308,0.7230769230769231,0.15384615384615385
2008,0.12857142857142856,0.7714285714285715,0.1
2009,0.13953488372093023,0.7441860465116279,0.11627906976744186
2010,0.10606060606060606,0.8181818181818182,0.07575757575757576
2011,0.23529411764705882,0.6823529411764706,0.08235294117647059
2012,0.1485148514851485,0.7623762376237624,0.0891089108910891
2013,0.1953125,0.69140625,0.11328125
2014,0.15568862275449102,0.7724550898203593,0.0718562874251497
2015,0.1650943396226415,0.7452830188679245,0.08962264150943396
2016,0.14361702127659576,0.75,0.10638297872340426
2017,0.24,0.655,0.105
