year,pos,neu,neg
1950,0.2222222222222222,0.5555555555555556,0.2222222222222222
1951,0.18181818181818182,0.7272727272727273,0.09090909090909091
1952,0.2,0.6,0.2
1953,0.25,0.625,0.125
1954,0.14285714285714285,0.8571428571428571,0.0
1955,0.18604651162790697,0.7906976744186046,0.023255813953488372
1956,0.13333333333333333,0.8666666666666667,0.0
1957,0.2222222222222222,0.6666666666666666,0.1111111111111111
1958,0.25,0.75,0.0
1959,0.4,0.6,0.0
1960,0.46153846153846156,0.46153846153846156,0.07692307692307693
1961,0.1875,0.5625,0.25
1962,0.3157894736842105,0.6052631578947368,0.07894736842105263
1963,0.14705882352941177,0.7647058823529411,0.08823529411764706
1964,0.2,0.6,0.2
1965,0.2564102564102564,0.6923076923076923,0.05128205128205128
1966,0.27631578947368424,0.6973684210526315,0.02631578947368421
1967,0.3023255813953488,0.5813953488372093,0.11627906976744186
1968,0.2692307692307692,0.6923076923076923,0.038461538461538464
1969,0.20408163265306123,0.6938775510204082,0.10204081632653061
1970,0.11363636363636363,0.7045454545454546,0.18181818181818182
1971,0.21621621621621623,0.7567567567567568,0.02702702702702703
1972,0.22950819672131148,0.7049180327868853,0.06557377049180328
1973,0.13,0.71,0.16
1974,0.125,0.8125,0.0625
1975,0.288135593220339,0.6610169491525424,0.05084745762711865
1976,0.2,0.7,0.1
1977,0.13636363636363635,0.8409090909090909,0.022727272727272728
1978,0.1794871794871795,0.6153846153846154,0.20512820512820512
1979,0.13953488372093023,0.7674418604651163,0.09302325581395349
1980,0.07142857142857142,0.8928571428571429,0.03571428571428571
1981,0.16176470588235295,0.7794117647058824,0.058823529411764705
1982,0.21212121212121213,0.7575757575757576,0.030303030303030304
1983,0.26,0.72,0.02
1984,0.18181818181818182,0.7818181818181819,0.03636363636363636
1985,0.17543859649122806,0.7192982456140351,0.10526315789473684
1986,0.15053763440860216,0.7634408602150538,0.08602150537634409
1987,0.2,0.7116279069767442,0.08837209302325581
1988,0.17307692307692307,0.75,0.07692307692307693
1989,0.22580645161290322,0.7096774193548387,0.06451612903225806
1990,0.1956521739130435,0.6739130434782609,0.13043478260869565
1991,0.1348314606741573,0.8202247191011236,0.0449438202247191
1992,0.2191780821917808,0.726027397260274,0.0547945205479452
1993,0.10843373493975904,0.7590361445783133,0.13253012048192772
1994,0.1935483870967742,0.7419354838709677,0.06451612903225806
1995,0.1949685534591195,0.6352201257861635,0.16981132075471697
1996,0.2,0.7181818181818181,0.08181818181818182
1997,0.2222222222222222,0.7111111111111111,0.06666666666666667
1998,0.16923076923076924,0.7576923076923077,0.07307692307692308
1999,0.15228426395939088,0.7309644670050761,0.116751269035533
2000,0.18497109826589594,0.7196531791907514,0.0953757225433526
2001,0.18421052631578946,0.7046783625730995,0.1111111111111111
2002,0.19469026548672566,0.7050147492625368,0.10029498525073746
2003,0.1865671641791045,0.6990049751243781,0.11442786069651742
2004,0.1814516129032258,0.7157258064516129,0.1028225806451613
2005,0.18163672654690619,0.7025948103792415,0.1157684630738523
2006,0.141321044546851,0.7296466973886329,0.12903225806451613
2007,0.16235632183908047,0.7040229885057471,0.1336206896551724
2008,0.17472118959107807,0.7298636926889716,0.09541511771995044
2009,0.1359338061465721,0.7127659574468085,0.15130023640661938
2010,0.1697381183317168,0.7303588748787585,0.09990300678952474
2011,0.15148514851485148,0.7396039603960396,0.10891089108910891
2012,0.15117719950433706,0.7286245353159851,0.12019826517967781
2013,0.17702702702702702,0.7108108108108108,0.11216216216216217
2014,0.151270207852194,0.7159353348729792,0.13279445727482678
2015,0.17935192162773173,0.6985681989449887,0.12207987942727958
2016,0.19012605042016806,0.7205882352941176,0.08928571428571429
2017,0.18887015177065766,0.6930860033726813,0.11804384485666104
