year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.3333333333333333,0.6666666666666666
1971,0.0,1.0,0.0
1972,0.0,0.0,1.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.5,0.5
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.3333333333333333,0.6666666666666666,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,1.0,0.0,0.0
1984,0.0,0.5,0.5
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.0,0.5,0.5
1990,0.25,0.5,0.25
1991,0.0,0.0,0.0
1992,0.0,1.0,0.0
1993,0.5,0.5,0.0
1994,0.3333333333333333,0.5555555555555556,0.1111111111111111
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.5714285714285714,0.42857142857142855,0.0
1999,0.0,1.0,0.0
2000,0.14285714285714285,0.7142857142857143,0.14285714285714285
2001,0.14285714285714285,0.7142857142857143,0.14285714285714285
2002,0.16666666666666666,0.5,0.3333333333333333
2003,0.23076923076923078,0.7692307692307693,0.0
2004,0.07692307692307693,0.7692307692307693,0.15384615384615385
2005,0.0,0.7857142857142857,0.21428571428571427
2006,0.2222222222222222,0.7777777777777778,0.0
2007,0.2,0.8,0.0
2008,0.06666666666666667,0.8666666666666667,0.06666666666666667
2009,0.25,0.6875,0.0625
2010,0.24242424242424243,0.7272727272727273,0.030303030303030304
2011,0.08333333333333333,0.8333333333333334,0.08333333333333333
2012,0.18518518518518517,0.7037037037037037,0.1111111111111111
2013,0.26666666666666666,0.6333333333333333,0.1
2014,0.22580645161290322,0.6774193548387096,0.0967741935483871
2015,0.27586206896551724,0.5862068965517241,0.13793103448275862
2016,0.2222222222222222,0.7037037037037037,0.07407407407407407
2017,0.45454545454545453,0.5454545454545454,0.0
