year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,1.0
1960,0.0,1.0,0.0
1961,0.5,0.5,0.0
1962,0.0,1.0,0.0
1963,0.5,0.0,0.5
1964,0.0,0.0,0.0
1965,0.25,0.75,0.0
1966,0.0,0.0,0.0
1967,0.2857142857142857,0.7142857142857143,0.0
1968,1.0,0.0,0.0
1969,0.5,0.5,0.0
1970,0.5,0.5,0.0
1971,0.5,0.5,0.0
1972,0.0,0.0,0.0
1973,0.0,0.8333333333333334,0.16666666666666666
1974,0.0,0.6666666666666666,0.3333333333333333
1975,0.0,0.75,0.25
1976,0.5,0.5,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.2,0.8,0.0
1980,0.2,0.8,0.0
1981,0.0,0.6666666666666666,0.3333333333333333
1982,0.2,0.8,0.0
1983,0.0,1.0,0.0
1984,0.23076923076923078,0.5384615384615384,0.23076923076923078
1985,0.16666666666666666,0.6666666666666666,0.16666666666666666
1986,0.14285714285714285,0.8571428571428571,0.0
1987,0.25,0.75,0.0
1988,0.16666666666666666,0.6666666666666666,0.16666666666666666
1989,0.07692307692307693,0.6153846153846154,0.3076923076923077
1990,0.5454545454545454,0.18181818181818182,0.2727272727272727
1991,0.14285714285714285,0.7142857142857143,0.14285714285714285
1992,0.23529411764705882,0.6470588235294118,0.11764705882352941
1993,0.2222222222222222,0.6666666666666666,0.1111111111111111
1994,0.0,0.6923076923076923,0.3076923076923077
1995,0.25,0.5,0.25
1996,0.15384615384615385,0.6923076923076923,0.15384615384615385
1997,0.21428571428571427,0.42857142857142855,0.35714285714285715
1998,0.23529411764705882,0.7058823529411765,0.058823529411764705
1999,0.18181818181818182,0.8181818181818182,0.0
2000,0.15,0.8,0.05
2001,0.2702702702702703,0.4864864864864865,0.24324324324324326
2002,0.16129032258064516,0.7741935483870968,0.06451612903225806
2003,0.23076923076923078,0.6923076923076923,0.07692307692307693
2004,0.2692307692307692,0.6538461538461539,0.07692307692307693
2005,0.1891891891891892,0.7297297297297297,0.08108108108108109
2006,0.12962962962962962,0.7592592592592593,0.1111111111111111
2007,0.14285714285714285,0.7301587301587301,0.12698412698412698
2008,0.2602739726027397,0.6164383561643836,0.1232876712328767
2009,0.10112359550561797,0.7191011235955056,0.1797752808988764
2010,0.10256410256410256,0.7307692307692307,0.16666666666666666
2011,0.24050632911392406,0.620253164556962,0.13924050632911392
2012,0.20567375886524822,0.6879432624113475,0.10638297872340426
2013,0.20430107526881722,0.6129032258064516,0.1827956989247312
2014,0.16666666666666666,0.696078431372549,0.13725490196078433
2015,0.23232323232323232,0.696969696969697,0.0707070707070707
2016,0.2676056338028169,0.647887323943662,0.08450704225352113
2017,0.2235294117647059,0.7058823529411765,0.07058823529411765
