year,pos,neu,neg
1950,0.1891891891891892,0.7027027027027027,0.10810810810810811
1951,0.09090909090909091,0.8051948051948052,0.1038961038961039
1952,0.14102564102564102,0.8205128205128205,0.038461538461538464
1953,0.07547169811320754,0.7830188679245284,0.14150943396226415
1954,0.18461538461538463,0.7384615384615385,0.07692307692307693
1955,0.12745098039215685,0.7450980392156863,0.12745098039215685
1956,0.16901408450704225,0.7535211267605634,0.07746478873239436
1957,0.09259259259259259,0.7592592592592593,0.14814814814814814
1958,0.09210526315789473,0.7631578947368421,0.14473684210526316
1959,0.13709677419354838,0.7741935483870968,0.08870967741935484
1960,0.15126050420168066,0.6638655462184874,0.18487394957983194
1961,0.14655172413793102,0.7068965517241379,0.14655172413793102
1962,0.14666666666666667,0.7133333333333334,0.14
1963,0.1437908496732026,0.7647058823529411,0.0915032679738562
1964,0.1261682242990654,0.7429906542056075,0.1308411214953271
1965,0.1291866028708134,0.7990430622009569,0.07177033492822966
1966,0.17391304347826086,0.7294685990338164,0.0966183574879227
1967,0.08636363636363636,0.7363636363636363,0.17727272727272728
1968,0.12154696132596685,0.7458563535911602,0.13259668508287292
1969,0.18012422360248448,0.6770186335403726,0.14285714285714285
1970,0.16312056737588654,0.7163120567375887,0.12056737588652482
1971,0.18085106382978725,0.6808510638297872,0.13829787234042554
1972,0.16666666666666666,0.7345679012345679,0.09876543209876543
1973,0.1417624521072797,0.7547892720306514,0.10344827586206896
1974,0.1062992125984252,0.7519685039370079,0.14173228346456693
1975,0.18617021276595744,0.6914893617021277,0.12234042553191489
1976,0.1261682242990654,0.8130841121495327,0.06074766355140187
1977,0.17378048780487804,0.7134146341463414,0.11280487804878049
1978,0.1111111111111111,0.7377777777777778,0.1511111111111111
1979,0.17703349282296652,0.6889952153110048,0.1339712918660287
1980,0.17142857142857143,0.7257142857142858,0.10285714285714286
1981,0.14124293785310735,0.7457627118644068,0.11299435028248588
1982,0.1722689075630252,0.7226890756302521,0.10504201680672269
1983,0.21333333333333335,0.6844444444444444,0.10222222222222223
1984,0.187683284457478,0.6832844574780058,0.12903225806451613
1985,0.12716763005780346,0.7196531791907514,0.1531791907514451
1986,0.15289256198347106,0.7231404958677686,0.12396694214876033
1987,0.14473684210526316,0.706140350877193,0.14912280701754385
1988,0.1791530944625407,0.7166123778501629,0.10423452768729642
1989,0.14492753623188406,0.7427536231884058,0.11231884057971014
1990,0.1414141414141414,0.7373737373737373,0.12121212121212122
1991,0.15916955017301038,0.7681660899653979,0.0726643598615917
1992,0.17627118644067796,0.7220338983050848,0.1016949152542373
1993,0.1536144578313253,0.713855421686747,0.13253012048192772
1994,0.15529411764705883,0.731764705882353,0.11294117647058824
1995,0.14318706697459585,0.7159353348729792,0.14087759815242495
1996,0.164804469273743,0.7346368715083799,0.1005586592178771
1997,0.12144212523719165,0.7362428842504743,0.14231499051233396
1998,0.14614121510673234,0.6929392446633826,0.16091954022988506
1999,0.11560693641618497,0.720616570327553,0.16377649325626203
2000,0.1377952755905512,0.7440944881889764,0.11811023622047244
2001,0.12189054726368159,0.7524875621890548,0.1256218905472637
2002,0.1310734463276836,0.7412429378531074,0.12768361581920903
2003,0.14678899082568808,0.7166156982670744,0.1365953109072375
2004,0.11542192046556742,0.7555771096023278,0.12900096993210475
2005,0.13365539452495975,0.7318840579710145,0.13446054750402575
2006,0.12226415094339622,0.7479245283018868,0.129811320754717
2007,0.12526242127361792,0.741777466759972,0.13296011196641008
2008,0.1418109187749667,0.7210386151797603,0.13715046604527298
2009,0.12074118350268978,0.7280334728033473,0.15122534369396293
2010,0.15130023640661938,0.7026004728132388,0.14609929078014183
2011,0.1431807884005437,0.7186225645672859,0.13819664703217036
2012,0.15313734093900833,0.72400175515577,0.12286090390522159
2013,0.15634606938954765,0.7114624505928854,0.13219148001756698
2014,0.14093959731543623,0.714765100671141,0.14429530201342283
2015,0.14285714285714285,0.6995073891625616,0.15763546798029557
2016,0.14829396325459318,0.7073490813648294,0.14435695538057744
2017,0.15857605177993528,0.709546925566343,0.13187702265372167
