year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.17391304347826086,0.782608695652174,0.043478260869565216
1967,0.5,0.5,0.0
1968,1.0,0.0,0.0
1969,0.0,0.0,1.0
1970,0.5,0.0,0.5
1971,0.2,0.6,0.2
1972,0.0,0.75,0.25
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,0.14285714285714285,0.8571428571428571,0.0
1979,0.1111111111111111,0.7777777777777778,0.1111111111111111
1980,0.0,0.0,1.0
1981,0.0,1.0,0.0
1982,1.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.6666666666666666,0.3333333333333333
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.25,0.5,0.25
1987,0.07692307692307693,0.6923076923076923,0.23076923076923078
1988,0.0,1.0,0.0
1989,0.14285714285714285,0.8571428571428571,0.0
1990,0.14285714285714285,0.7142857142857143,0.14285714285714285
1991,0.375,0.4375,0.1875
1992,0.2,0.8,0.0
1993,0.29411764705882354,0.5882352941176471,0.11764705882352941
1994,0.125,0.625,0.25
1995,0.0,0.7777777777777778,0.2222222222222222
1996,0.2,0.72,0.08
1997,0.0,1.0,0.0
1998,0.16666666666666666,0.8333333333333334,0.0
1999,0.125,0.875,0.0
2000,0.0,0.625,0.375
2001,0.3076923076923077,0.46153846153846156,0.23076923076923078
2002,0.42857142857142855,0.42857142857142855,0.14285714285714285
2003,0.0,0.75,0.25
2004,0.12,0.72,0.16
2005,0.07692307692307693,0.6153846153846154,0.3076923076923077
2006,0.13333333333333333,0.4666666666666667,0.4
2007,0.125,0.75,0.125
2008,0.1111111111111111,0.7777777777777778,0.1111111111111111
2009,0.075,0.725,0.2
2010,0.061224489795918366,0.8775510204081632,0.061224489795918366
2011,0.17142857142857143,0.7428571428571429,0.08571428571428572
2012,0.11940298507462686,0.7313432835820896,0.14925373134328357
2013,0.11904761904761904,0.7857142857142857,0.09523809523809523
2014,0.2,0.7090909090909091,0.09090909090909091
2015,0.19230769230769232,0.5961538461538461,0.21153846153846154
2016,0.2127659574468085,0.6595744680851063,0.1276595744680851
2017,0.14705882352941177,0.7058823529411765,0.14705882352941177
