year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,1.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.5,0.5
1963,0.0,0.5,0.5
1964,0.0,0.0,0.0
1965,0.5,0.5,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.1,0.4,0.5
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.5,0.5,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.8,0.2
1981,0.0,0.0,0.0
1982,1.0,0.0,0.0
1983,1.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.2727272727272727,0.7272727272727273,0.0
1986,0.0,0.6666666666666666,0.3333333333333333
1987,0.3333333333333333,0.3333333333333333,0.3333333333333333
1988,0.0,0.0,0.0
1989,0.0,0.6666666666666666,0.3333333333333333
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.6666666666666666,0.3333333333333333,0.0
1995,0.0,0.0,0.0
1996,0.0,1.0,0.0
1997,0.0,0.75,0.25
1998,0.0,0.0,1.0
1999,0.0,0.0,0.0
2000,0.25,0.75,0.0
2001,0.0,0.0,1.0
2002,0.0,1.0,0.0
2003,0.16666666666666666,0.75,0.08333333333333333
2004,0.16666666666666666,0.8333333333333334,0.0
2005,0.14285714285714285,0.8571428571428571,0.0
2006,0.2,0.4,0.4
2007,0.4,0.6,0.0
2008,0.15384615384615385,0.6153846153846154,0.23076923076923078
2009,0.0,0.8,0.2
2010,0.25,0.75,0.0
2011,0.21739130434782608,0.6086956521739131,0.17391304347826086
2012,0.25,0.75,0.0
2013,0.29411764705882354,0.6470588235294118,0.058823529411764705
2014,0.125,0.6875,0.1875
2015,0.05555555555555555,0.7222222222222222,0.2222222222222222
2016,0.2857142857142857,0.47619047619047616,0.23809523809523808
2017,0.0,1.0,0.0
