year,pos,neu,neg
1950,0.16666666666666666,0.625,0.20833333333333334
1951,0.2692307692307692,0.6538461538461539,0.07692307692307693
1952,0.21428571428571427,0.6785714285714286,0.10714285714285714
1953,0.14285714285714285,0.7142857142857143,0.14285714285714285
1954,0.2857142857142857,0.5714285714285714,0.14285714285714285
1955,0.24,0.72,0.04
1956,0.17073170731707318,0.7682926829268293,0.06097560975609756
1957,0.2,0.6909090909090909,0.10909090909090909
1958,0.17391304347826086,0.8260869565217391,0.0
1959,0.28125,0.625,0.09375
1960,0.21212121212121213,0.6060606060606061,0.18181818181818182
1961,0.38461538461538464,0.5897435897435898,0.02564102564102564
1962,0.28125,0.671875,0.046875
1963,0.24074074074074073,0.5555555555555556,0.2037037037037037
1964,0.22857142857142856,0.5714285714285714,0.2
1965,0.09090909090909091,0.696969696969697,0.21212121212121213
1966,0.23595505617977527,0.5056179775280899,0.25842696629213485
1967,0.2261904761904762,0.6190476190476191,0.15476190476190477
1968,0.32098765432098764,0.5679012345679012,0.1111111111111111
1969,0.32989690721649484,0.5670103092783505,0.10309278350515463
1970,0.3829787234042553,0.44680851063829785,0.1702127659574468
1971,0.22448979591836735,0.6530612244897959,0.12244897959183673
1972,0.30434782608695654,0.5,0.1956521739130435
1973,0.2564102564102564,0.5769230769230769,0.16666666666666666
1974,0.2956521739130435,0.48695652173913045,0.21739130434782608
1975,0.32967032967032966,0.5714285714285714,0.0989010989010989
1976,0.288,0.592,0.12
1977,0.35333333333333333,0.5266666666666666,0.12
1978,0.20161290322580644,0.6975806451612904,0.10080645161290322
1979,0.1891891891891892,0.6554054054054054,0.1554054054054054
1980,0.2692307692307692,0.6057692307692307,0.125
1981,0.225,0.6125,0.1625
1982,0.20930232558139536,0.6162790697674418,0.1744186046511628
1983,0.25517241379310346,0.6206896551724138,0.12413793103448276
1984,0.22330097087378642,0.5436893203883495,0.23300970873786409
1985,0.2,0.6272727272727273,0.17272727272727273
1986,0.28169014084507044,0.6197183098591549,0.09859154929577464
1987,0.2826086956521739,0.6413043478260869,0.07608695652173914
1988,0.3577981651376147,0.5321100917431193,0.11009174311926606
1989,0.2897196261682243,0.5514018691588785,0.1588785046728972
1990,0.2868217054263566,0.6124031007751938,0.10077519379844961
1991,0.22807017543859648,0.6140350877192983,0.15789473684210525
1992,0.36082474226804123,0.5257731958762887,0.1134020618556701
1993,0.44970414201183434,0.46745562130177515,0.08284023668639054
1994,0.3143712574850299,0.5359281437125748,0.1497005988023952
1995,0.4029126213592233,0.4854368932038835,0.11165048543689321
1996,0.4052631578947368,0.4842105263157895,0.11052631578947368
1997,0.2839506172839506,0.5679012345679012,0.14814814814814814
1998,0.25984251968503935,0.5826771653543307,0.15748031496062992
1999,0.28440366972477066,0.5259938837920489,0.18960244648318042
2000,0.35051546391752575,0.5567010309278351,0.09278350515463918
2001,0.23430962343096234,0.6485355648535565,0.11715481171548117
2002,0.2740740740740741,0.6,0.1259259259259259
2003,0.3215339233038348,0.5191740412979351,0.1592920353982301
2004,0.3646288209606987,0.5262008733624454,0.1091703056768559
2005,0.3218390804597701,0.5373563218390804,0.14080459770114942
2006,0.26590909090909093,0.5909090909090909,0.1431818181818182
2007,0.2776659959758551,0.5814889336016097,0.14084507042253522
2008,0.2611464968152866,0.6008492569002123,0.13800424628450106
2009,0.2893835616438356,0.5496575342465754,0.16095890410958905
2010,0.28756476683937826,0.6075129533678757,0.10492227979274611
2011,0.2702380952380952,0.6297619047619047,0.1
2012,0.29246487867177523,0.565772669220945,0.1417624521072797
2013,0.29751131221719457,0.5712669683257918,0.13122171945701358
2014,0.31862068965517243,0.5806896551724138,0.1006896551724138
2015,0.29516288252714706,0.5715695952615992,0.1332675222112537
2016,0.25113636363636366,0.615909090909091,0.13295454545454546
2017,0.2804878048780488,0.5934959349593496,0.12601626016260162
