year,pos,neu,neg
1950,0.2857142857142857,0.7142857142857143,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,1.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.42857142857142855,0.42857142857142855,0.14285714285714285
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,1.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.0,0.6666666666666666,0.3333333333333333
1989,0.2857142857142857,0.7142857142857143,0.0
1990,0.0,1.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.19444444444444445,0.8055555555555556,0.0
1995,0.0,1.0,0.0
1996,0.0,0.0,0.0
1997,0.14285714285714285,0.7619047619047619,0.09523809523809523
1998,0.0,0.75,0.25
1999,0.2,0.6,0.2
2000,0.0,0.0,0.0
2001,0.23529411764705882,0.6470588235294118,0.11764705882352941
2002,0.0,0.0,0.0
2003,0.0,1.0,0.0
2004,0.0,1.0,0.0
2005,0.0,1.0,0.0
2006,0.06060606060606061,0.45454545454545453,0.48484848484848486
2007,0.42857142857142855,0.42857142857142855,0.14285714285714285
2008,0.2857142857142857,0.6785714285714286,0.03571428571428571
2009,0.07692307692307693,0.6153846153846154,0.3076923076923077
2010,0.14285714285714285,0.8571428571428571,0.0
2011,0.25,0.75,0.0
2012,0.16666666666666666,0.8333333333333334,0.0
2013,0.0,0.8333333333333334,0.16666666666666666
2014,0.14285714285714285,0.7142857142857143,0.14285714285714285
2015,0.25,0.75,0.0
2016,0.0,1.0,0.0
2017,0.0,0.0,0.0
