year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.25,0.75,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.5,0.5,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.16666666666666666,0.8333333333333334,0.0
1962,0.0,1.0,0.0
1963,0.0,0.6666666666666666,0.3333333333333333
1964,0.5,0.5,0.0
1965,0.0,1.0,0.0
1966,1.0,0.0,0.0
1967,0.5,0.5,0.0
1968,0.3333333333333333,0.6666666666666666,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.75,0.25
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.3333333333333333,0.6666666666666666,0.0
1975,0.16666666666666666,0.8333333333333334,0.0
1976,0.3333333333333333,0.4444444444444444,0.2222222222222222
1977,0.16666666666666666,0.6666666666666666,0.16666666666666666
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.25,0.5,0.25
1981,0.1111111111111111,0.5555555555555556,0.3333333333333333
1982,0.25,0.75,0.0
1983,0.0,0.5,0.5
1984,0.0,1.0,0.0
1985,0.4444444444444444,0.5555555555555556,0.0
1986,0.2,0.8,0.0
1987,0.2857142857142857,0.6428571428571429,0.07142857142857142
1988,0.36363636363636365,0.6363636363636364,0.0
1989,0.11363636363636363,0.75,0.13636363636363635
1990,0.0,0.5,0.5
1991,0.14285714285714285,0.8571428571428571,0.0
1992,0.0,0.0,0.0
1993,0.0625,0.9375,0.0
1994,0.0,1.0,0.0
1995,0.2,0.6,0.2
1996,0.18181818181818182,0.6363636363636364,0.18181818181818182
1997,0.2,0.8,0.0
1998,0.2,0.8,0.0
1999,0.2777777777777778,0.6666666666666666,0.05555555555555555
2000,0.16666666666666666,0.8333333333333334,0.0
2001,0.1,0.8,0.1
2002,0.17647058823529413,0.7058823529411765,0.11764705882352941
2003,0.1111111111111111,0.7222222222222222,0.16666666666666666
2004,0.06666666666666667,0.9333333333333333,0.0
2005,0.16666666666666666,0.7777777777777778,0.05555555555555555
2006,0.09523809523809523,0.7619047619047619,0.14285714285714285
2007,0.14285714285714285,0.6666666666666666,0.19047619047619047
2008,0.13793103448275862,0.8275862068965517,0.034482758620689655
2009,0.14285714285714285,0.6190476190476191,0.23809523809523808
2010,0.20689655172413793,0.6896551724137931,0.10344827586206896
2011,0.15384615384615385,0.7692307692307693,0.07692307692307693
2012,0.19148936170212766,0.6808510638297872,0.1276595744680851
2013,0.16216216216216217,0.7297297297297297,0.10810810810810811
2014,0.24,0.68,0.08
2015,0.13513513513513514,0.6756756756756757,0.1891891891891892
2016,0.3,0.575,0.125
2017,0.35714285714285715,0.5714285714285714,0.07142857142857142
