year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.5,0.5
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.5,0.5
1979,0.0,1.0,0.0
1980,0.25,0.5,0.25
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.4444444444444444,0.4444444444444444,0.1111111111111111
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.6,0.2,0.2
1987,0.2857142857142857,0.7142857142857143,0.0
1988,0.25,0.75,0.0
1989,0.3333333333333333,0.6666666666666666,0.0
1990,0.0,1.0,0.0
1991,0.25,0.75,0.0
1992,0.19047619047619047,0.7619047619047619,0.047619047619047616
1993,0.125,0.75,0.125
1994,0.15,0.7,0.15
1995,0.0,0.8888888888888888,0.1111111111111111
1996,0.4,0.6,0.0
1997,0.0,0.8571428571428571,0.14285714285714285
1998,0.3333333333333333,0.5,0.16666666666666666
1999,0.125,0.875,0.0
2000,0.1724137931034483,0.7931034482758621,0.034482758620689655
2001,0.13333333333333333,0.7,0.16666666666666666
2002,0.17647058823529413,0.7647058823529411,0.058823529411764705
2003,0.22857142857142856,0.6571428571428571,0.11428571428571428
2004,0.17647058823529413,0.6470588235294118,0.17647058823529413
2005,0.24242424242424243,0.6363636363636364,0.12121212121212122
2006,0.15151515151515152,0.803030303030303,0.045454545454545456
2007,0.21311475409836064,0.7540983606557377,0.03278688524590164
2008,0.25757575757575757,0.7121212121212122,0.030303030303030304
2009,0.17567567567567569,0.7972972972972973,0.02702702702702703
2010,0.1919191919191919,0.7373737373737373,0.0707070707070707
2011,0.2912621359223301,0.6601941747572816,0.04854368932038835
2012,0.20454545454545456,0.696969696969697,0.09848484848484848
2013,0.28440366972477066,0.6055045871559633,0.11009174311926606
2014,0.2125984251968504,0.7322834645669292,0.05511811023622047
2015,0.21341463414634146,0.7195121951219512,0.06707317073170732
2016,0.22875816993464052,0.673202614379085,0.09803921568627451
2017,0.21212121212121213,0.7070707070707071,0.08080808080808081
