year,pos,neu,neg
1950,0.0,0.6666666666666666,0.3333333333333333
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,0.0,0.5,0.5
1957,0.16666666666666666,0.6666666666666666,0.16666666666666666
1958,0.3333333333333333,0.6666666666666666,0.0
1959,0.0,1.0,0.0
1960,0.6666666666666666,0.3333333333333333,0.0
1961,0.3333333333333333,0.6666666666666666,0.0
1962,0.0,0.75,0.25
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.22727272727272727,0.6818181818181818,0.09090909090909091
1966,0.5,0.5,0.0
1967,0.0,1.0,0.0
1968,0.16666666666666666,0.8333333333333334,0.0
1969,0.16666666666666666,0.8333333333333334,0.0
1970,0.25,0.25,0.5
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.2857142857142857,0.7142857142857143,0.0
1976,0.18181818181818182,0.8181818181818182,0.0
1977,0.0,1.0,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.125,0.875,0.0
1982,0.0,1.0,0.0
1983,0.5,0.5,0.0
1984,0.2,0.6,0.2
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.2857142857142857,0.7142857142857143,0.0
1990,0.5,0.25,0.25
1991,0.0,1.0,0.0
1992,0.08333333333333333,0.9166666666666666,0.0
1993,0.1,0.9,0.0
1994,0.1111111111111111,0.8888888888888888,0.0
1995,0.23076923076923078,0.6153846153846154,0.15384615384615385
1996,0.0,1.0,0.0
1997,0.25,0.75,0.0
1998,0.28,0.56,0.16
1999,0.2777777777777778,0.5833333333333334,0.1388888888888889
2000,0.25,0.625,0.125
2001,0.18181818181818182,0.7727272727272727,0.045454545454545456
2002,0.06451612903225806,0.7419354838709677,0.1935483870967742
2003,0.17647058823529413,0.8235294117647058,0.0
2004,0.06060606060606061,0.9090909090909091,0.030303030303030304
2005,0.10344827586206896,0.5517241379310345,0.3448275862068966
2006,0.1,0.8,0.1
2007,0.27906976744186046,0.6744186046511628,0.046511627906976744
2008,0.14285714285714285,0.7619047619047619,0.09523809523809523
2009,0.17562724014336917,0.7060931899641577,0.11827956989247312
2010,0.17834394904458598,0.6751592356687898,0.1464968152866242
2011,0.20930232558139536,0.7209302325581395,0.06976744186046512
2012,0.234375,0.734375,0.03125
2013,0.2564102564102564,0.6153846153846154,0.1282051282051282
2014,0.2653061224489796,0.6938775510204082,0.04081632653061224
2015,0.17857142857142858,0.6964285714285714,0.125
2016,0.18518518518518517,0.7962962962962963,0.018518518518518517
2017,0.21428571428571427,0.6428571428571429,0.14285714285714285
