year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.25,0.5,0.25
1952,0.3333333333333333,0.6666666666666666,0.0
1953,0.25,0.75,0.0
1954,0.0,1.0,0.0
1955,0.1111111111111111,0.8888888888888888,0.0
1956,0.6666666666666666,0.3333333333333333,0.0
1957,0.0,0.5,0.5
1958,0.1111111111111111,0.7777777777777778,0.1111111111111111
1959,0.3333333333333333,0.6666666666666666,0.0
1960,0.14285714285714285,0.42857142857142855,0.42857142857142855
1961,0.2857142857142857,0.7142857142857143,0.0
1962,0.0,1.0,0.0
1963,0.1,0.8,0.1
1964,0.16666666666666666,0.8333333333333334,0.0
1965,0.2222222222222222,0.6666666666666666,0.1111111111111111
1966,0.16666666666666666,0.6666666666666666,0.16666666666666666
1967,0.25,0.75,0.0
1968,0.0,0.0,1.0
1969,0.2857142857142857,0.7142857142857143,0.0
1970,0.0,0.8333333333333334,0.16666666666666666
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.16666666666666666,0.6666666666666666,0.16666666666666666
1974,0.2222222222222222,0.6666666666666666,0.1111111111111111
1975,0.0,1.0,0.0
1976,0.2857142857142857,0.7142857142857143,0.0
1977,0.2857142857142857,0.7142857142857143,0.0
1978,0.125,0.875,0.0
1979,0.0,0.75,0.25
1980,0.05555555555555555,0.7777777777777778,0.16666666666666666
1981,0.0,0.75,0.25
1982,0.09090909090909091,0.9090909090909091,0.0
1983,0.0,1.0,0.0
1984,0.1111111111111111,0.7777777777777778,0.1111111111111111
1985,0.18181818181818182,0.6363636363636364,0.18181818181818182
1986,0.0,1.0,0.0
1987,0.2222222222222222,0.7777777777777778,0.0
1988,0.1111111111111111,0.7777777777777778,0.1111111111111111
1989,0.3333333333333333,0.6666666666666666,0.0
1990,0.5,0.5,0.0
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.0,1.0,0.0
1993,0.14285714285714285,0.7142857142857143,0.14285714285714285
1994,0.1111111111111111,0.8888888888888888,0.0
1995,0.13636363636363635,0.8636363636363636,0.0
1996,0.07142857142857142,0.8571428571428571,0.07142857142857142
1997,0.047619047619047616,0.8571428571428571,0.09523809523809523
1998,0.0,0.875,0.125
1999,0.1875,0.8125,0.0
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.3,0.5,0.2
2003,0.35,0.6,0.05
2004,0.15,0.75,0.1
2005,0.3333333333333333,0.6666666666666666,0.0
2006,0.20689655172413793,0.7586206896551724,0.034482758620689655
2007,0.10714285714285714,0.75,0.14285714285714285
2008,0.36363636363636365,0.6363636363636364,0.0
2009,0.19230769230769232,0.7307692307692307,0.07692307692307693
2010,0.17857142857142858,0.6428571428571429,0.17857142857142858
2011,0.05555555555555555,0.8888888888888888,0.05555555555555555
2012,0.10344827586206896,0.8620689655172413,0.034482758620689655
2013,0.2647058823529412,0.7352941176470589,0.0
2014,0.13793103448275862,0.8275862068965517,0.034482758620689655
2015,0.21052631578947367,0.7105263157894737,0.07894736842105263
2016,0.16666666666666666,0.7916666666666666,0.041666666666666664
2017,0.3333333333333333,0.4666666666666667,0.2
