year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,1.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,1.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.1,0.8,0.1
1991,0.0,0.0,0.0
1992,0.3333333333333333,0.6666666666666666,0.0
1993,0.0,1.0,0.0
1994,0.0,0.6666666666666666,0.3333333333333333
1995,0.08333333333333333,0.8333333333333334,0.08333333333333333
1996,0.14285714285714285,0.8571428571428571,0.0
1997,0.0,1.0,0.0
1998,0.23809523809523808,0.5238095238095238,0.23809523809523808
1999,0.07407407407407407,0.7777777777777778,0.14814814814814814
2000,0.0,1.0,0.0
2001,0.125,0.8125,0.0625
2002,0.2727272727272727,0.7272727272727273,0.0
2003,0.0625,0.6875,0.25
2004,0.0,0.8333333333333334,0.16666666666666666
2005,0.09523809523809523,0.8571428571428571,0.047619047619047616
2006,0.05,0.9,0.05
2007,0.18181818181818182,0.696969696969697,0.12121212121212122
2008,0.13333333333333333,0.8,0.06666666666666667
2009,0.1,0.75,0.15
2010,0.1282051282051282,0.7948717948717948,0.07692307692307693
2011,0.13953488372093023,0.7674418604651163,0.09302325581395349
2012,0.13333333333333333,0.8222222222222222,0.044444444444444446
2013,0.15789473684210525,0.7368421052631579,0.10526315789473684
2014,0.21212121212121213,0.6666666666666666,0.12121212121212122
2015,0.21621621621621623,0.7027027027027027,0.08108108108108109
2016,0.10416666666666667,0.8958333333333334,0.0
2017,0.18181818181818182,0.6818181818181818,0.13636363636363635
