year,pos,neu,neg
1950,0.5,0.5,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,1.0,0.0,0.0
1961,0.5,0.5,0.0
1962,0.14285714285714285,0.7142857142857143,0.14285714285714285
1963,0.0,0.0,0.0
1964,0.0,0.0,1.0
1965,0.0,0.0,0.0
1966,0.0,0.0,1.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.75,0.25
1972,0.0,0.0,0.0
1973,0.16666666666666666,0.8333333333333334,0.0
1974,0.0,0.0,0.0
1975,0.0,0.75,0.25
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.4,0.6,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,1.0,0.0,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.0,0.0,0.0
1984,0.0,0.6,0.4
1985,0.6666666666666666,0.3333333333333333,0.0
1986,0.1111111111111111,0.8888888888888888,0.0
1987,0.0,0.0,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.25,0.75,0.0
1990,0.5,0.0,0.5
1991,0.2,0.6,0.2
1992,0.2222222222222222,0.7777777777777778,0.0
1993,0.0,0.0,1.0
1994,0.42857142857142855,0.42857142857142855,0.14285714285714285
1995,0.2222222222222222,0.6666666666666666,0.1111111111111111
1996,0.0,1.0,0.0
1997,0.2857142857142857,0.7142857142857143,0.0
1998,0.07142857142857142,0.7142857142857143,0.21428571428571427
1999,0.0,1.0,0.0
2000,0.16666666666666666,0.6666666666666666,0.16666666666666666
2001,0.1875,0.8125,0.0
2002,0.05263157894736842,0.9473684210526315,0.0
2003,0.3,0.6666666666666666,0.03333333333333333
2004,0.21052631578947367,0.6842105263157895,0.10526315789473684
2005,0.25,0.6388888888888888,0.1111111111111111
2006,0.3333333333333333,0.6190476190476191,0.047619047619047616
2007,0.3018867924528302,0.660377358490566,0.03773584905660377
2008,0.25396825396825395,0.6190476190476191,0.12698412698412698
2009,0.2903225806451613,0.6129032258064516,0.0967741935483871
2010,0.3333333333333333,0.5208333333333334,0.14583333333333334
2011,0.24528301886792453,0.6415094339622641,0.11320754716981132
2012,0.1875,0.703125,0.109375
2013,0.35,0.5833333333333334,0.06666666666666667
2014,0.2982456140350877,0.543859649122807,0.15789473684210525
2015,0.20689655172413793,0.7241379310344828,0.06896551724137931
2016,0.23684210526315788,0.7105263157894737,0.05263157894736842
2017,0.4444444444444444,0.5555555555555556,0.0
