year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.14285714285714285,0.7142857142857143,0.14285714285714285
1987,0.0,1.0,0.0
1988,0.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.3333333333333333,0.6666666666666666,0.0
1994,0.0,0.0,0.0
1995,0.0625,0.8125,0.125
1996,0.3103448275862069,0.5862068965517241,0.10344827586206896
1997,0.16666666666666666,0.7666666666666667,0.06666666666666667
1998,0.0,1.0,0.0
1999,0.18181818181818182,0.6363636363636364,0.18181818181818182
2000,0.14814814814814814,0.7037037037037037,0.14814814814814814
2001,0.2,0.8,0.0
2002,0.2857142857142857,0.5714285714285714,0.14285714285714285
2003,0.0,1.0,0.0
2004,0.16666666666666666,0.7083333333333334,0.125
2005,0.2,0.6,0.2
2006,0.0,0.0,1.0
2007,0.2,0.8,0.0
2008,0.2,0.8,0.0
2009,0.0,0.875,0.125
2010,0.1111111111111111,0.8888888888888888,0.0
2011,0.125,0.8125,0.0625
2012,0.0,0.75,0.25
2013,0.125,0.875,0.0
2014,0.07142857142857142,0.8571428571428571,0.07142857142857142
2015,0.16666666666666666,0.6666666666666666,0.16666666666666666
2016,0.15789473684210525,0.8421052631578947,0.0
2017,0.0,1.0,0.0
