year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.5,0.5,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.75,0.25
1979,1.0,0.0,0.0
1980,0.5,0.5,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.45454545454545453,0.5454545454545454,0.0
1985,0.0,1.0,0.0
1986,1.0,0.0,0.0
1987,0.0,1.0,0.0
1988,1.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,0.5,0.5
1992,0.75,0.25,0.0
1993,1.0,0.0,0.0
1994,0.14285714285714285,0.8571428571428571,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.2857142857142857,0.7142857142857143,0.0
1999,0.0,1.0,0.0
2000,0.0,0.8571428571428571,0.14285714285714285
2001,0.0,1.0,0.0
2002,0.4,0.6,0.0
2003,0.3333333333333333,0.6666666666666666,0.0
2004,0.14285714285714285,0.7857142857142857,0.07142857142857142
2005,0.1,0.9,0.0
2006,0.3055555555555556,0.6388888888888888,0.05555555555555555
2007,0.21428571428571427,0.6428571428571429,0.14285714285714285
2008,0.1891891891891892,0.7567567567567568,0.05405405405405406
2009,0.225,0.725,0.05
2010,0.29545454545454547,0.6212121212121212,0.08333333333333333
2011,0.36363636363636365,0.4935064935064935,0.14285714285714285
2012,0.30985915492957744,0.5633802816901409,0.1267605633802817
2013,0.2391304347826087,0.6521739130434783,0.10869565217391304
2014,0.3870967741935484,0.5483870967741935,0.06451612903225806
2015,0.23809523809523808,0.6428571428571429,0.11904761904761904
2016,0.3111111111111111,0.6888888888888889,0.0
2017,0.3225806451612903,0.6451612903225806,0.03225806451612903
