year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,1.0
1966,0.0,0.0,1.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.2,0.8,0.0
1970,0.125,0.75,0.125
1971,0.3333333333333333,0.6666666666666666,0.0
1972,0.0,1.0,0.0
1973,0.16666666666666666,0.8333333333333334,0.0
1974,0.2,0.8,0.0
1975,0.0,0.5,0.5
1976,0.0,0.6666666666666666,0.3333333333333333
1977,0.25,0.75,0.0
1978,1.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.6666666666666666,0.3333333333333333,0.0
1985,0.4,0.6,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.09523809523809523,0.8571428571428571,0.047619047619047616
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.7777777777777778,0.2222222222222222
1995,0.125,0.875,0.0
1996,0.25,0.75,0.0
1997,0.06666666666666667,0.9333333333333333,0.0
1998,0.25,0.6875,0.0625
1999,0.07692307692307693,0.9230769230769231,0.0
2000,0.07692307692307693,0.8461538461538461,0.07692307692307693
2001,0.08823529411764706,0.7941176470588235,0.11764705882352941
2002,0.15,0.8,0.05
2003,0.11764705882352941,0.7352941176470589,0.14705882352941177
2004,0.05555555555555555,0.8888888888888888,0.05555555555555555
2005,0.20689655172413793,0.7586206896551724,0.034482758620689655
2006,0.17073170731707318,0.7073170731707317,0.12195121951219512
2007,0.1282051282051282,0.7948717948717948,0.07692307692307693
2008,0.17142857142857143,0.8285714285714286,0.0
2009,0.0625,0.875,0.0625
2010,0.08333333333333333,0.8333333333333334,0.08333333333333333
2011,0.14545454545454545,0.7818181818181819,0.07272727272727272
2012,0.19402985074626866,0.7611940298507462,0.04477611940298507
2013,0.1774193548387097,0.7258064516129032,0.0967741935483871
2014,0.14634146341463414,0.8536585365853658,0.0
2015,0.08163265306122448,0.8775510204081632,0.04081632653061224
2016,0.12121212121212122,0.8181818181818182,0.06060606060606061
2017,0.13333333333333333,0.7666666666666667,0.1
