year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,1.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,1.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.75,0.25
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.5,0.0,0.5
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.25,0.75,0.0
1989,0.0,1.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,1.0,0.0
1995,0.5,0.5,0.0
1996,0.0,1.0,0.0
1997,0.0,0.0,0.0
1998,0.0,0.5,0.5
1999,0.0,0.8333333333333334,0.16666666666666666
2000,0.0,0.0,1.0
2001,0.0,0.0,0.0
2002,0.0,1.0,0.0
2003,0.0,1.0,0.0
2004,0.0,0.0,0.0
2005,1.0,0.0,0.0
2006,0.05555555555555555,0.7222222222222222,0.2222222222222222
2007,0.21428571428571427,0.6428571428571429,0.14285714285714285
2008,0.13333333333333333,0.8,0.06666666666666667
2009,0.15384615384615385,0.8461538461538461,0.0
2010,0.375,0.625,0.0
2011,0.2,0.6666666666666666,0.13333333333333333
2012,0.07692307692307693,0.9230769230769231,0.0
2013,0.14285714285714285,0.8571428571428571,0.0
2014,0.5555555555555556,0.4444444444444444,0.0
2015,0.36363636363636365,0.36363636363636365,0.2727272727272727
2016,0.2830188679245283,0.6415094339622641,0.07547169811320754
2017,0.0,1.0,0.0
