year,pos,neu,neg
1950,0.125,0.75,0.125
1951,0.0,1.0,0.0
1952,0.5,0.5,0.0
1953,0.0,0.875,0.125
1954,0.0,1.0,0.0
1955,0.08333333333333333,0.75,0.16666666666666666
1956,0.0,0.6,0.4
1957,1.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.26666666666666666,0.6,0.13333333333333333
1960,0.25,0.75,0.0
1961,0.5,0.5,0.0
1962,0.5,0.25,0.25
1963,1.0,0.0,0.0
1964,0.25806451612903225,0.6774193548387096,0.06451612903225806
1965,0.125,0.625,0.25
1966,0.21428571428571427,0.7142857142857143,0.07142857142857142
1967,0.16666666666666666,0.6666666666666666,0.16666666666666666
1968,0.0,1.0,0.0
1969,0.2857142857142857,0.5714285714285714,0.14285714285714285
1970,0.0,0.75,0.25
1971,0.0,0.0,0.0
1972,0.3333333333333333,0.5,0.16666666666666666
1973,0.2857142857142857,0.2857142857142857,0.42857142857142855
1974,0.09090909090909091,0.7272727272727273,0.18181818181818182
1975,0.0,0.8181818181818182,0.18181818181818182
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,1.0,0.0,0.0
1979,0.25,0.5,0.25
1980,0.0,1.0,0.0
1981,0.0,0.9,0.1
1982,0.1111111111111111,0.6666666666666666,0.2222222222222222
1983,0.3333333333333333,0.6666666666666666,0.0
1984,0.5,0.5,0.0
1985,0.0,0.7142857142857143,0.2857142857142857
1986,0.0,1.0,0.0
1987,0.23076923076923078,0.5384615384615384,0.23076923076923078
1988,0.14285714285714285,0.7857142857142857,0.07142857142857142
1989,0.125,0.625,0.25
1990,0.125,0.7083333333333334,0.16666666666666666
1991,0.25,0.5,0.25
1992,0.2727272727272727,0.7272727272727273,0.0
1993,0.0,0.7272727272727273,0.2727272727272727
1994,0.0,0.8888888888888888,0.1111111111111111
1995,0.08333333333333333,0.9166666666666666,0.0
1996,0.2,0.4,0.4
1997,0.07142857142857142,0.9285714285714286,0.0
1998,0.09090909090909091,0.9090909090909091,0.0
1999,0.07692307692307693,0.6923076923076923,0.23076923076923078
2000,0.2702702702702703,0.43243243243243246,0.2972972972972973
2001,0.25,0.625,0.125
2002,0.3333333333333333,0.0,0.6666666666666666
2003,0.11627906976744186,0.813953488372093,0.06976744186046512
2004,0.15,0.85,0.0
2005,0.2727272727272727,0.5454545454545454,0.18181818181818182
2006,0.125,0.875,0.0
2007,0.16666666666666666,0.75,0.08333333333333333
2008,0.05555555555555555,0.8888888888888888,0.05555555555555555
2009,0.09523809523809523,0.8571428571428571,0.047619047619047616
2010,0.3076923076923077,0.5384615384615384,0.15384615384615385
2011,0.09523809523809523,0.9047619047619048,0.0
2012,0.42857142857142855,0.42857142857142855,0.14285714285714285
2013,0.16279069767441862,0.6744186046511628,0.16279069767441862
2014,0.3333333333333333,0.5833333333333334,0.08333333333333333
2015,0.08823529411764706,0.7843137254901961,0.12745098039215685
2016,0.14285714285714285,0.7142857142857143,0.14285714285714285
2017,0.1111111111111111,0.6666666666666666,0.2222222222222222
