year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.5,0.5,0.0
1955,0.0,0.0,1.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.3333333333333333,0.6666666666666666
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.3333333333333333,0.6666666666666666,0.0
1963,0.5,0.25,0.25
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.6666666666666666,0.3333333333333333,0.0
1968,0.0,1.0,0.0
1969,0.3333333333333333,0.6666666666666666,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.6666666666666666,0.3333333333333333,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.6666666666666666,0.3333333333333333,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.16666666666666666,0.6666666666666666,0.16666666666666666
1981,0.5,0.5,0.0
1982,0.0,1.0,0.0
1983,0.25,0.25,0.5
1984,0.0,1.0,0.0
1985,0.6666666666666666,0.3333333333333333,0.0
1986,0.0,1.0,0.0
1987,0.2,0.8,0.0
1988,0.0,0.8,0.2
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,0.0,0.0
1992,1.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.5,0.5
1995,0.0,0.6666666666666666,0.3333333333333333
1996,0.0,0.0,1.0
1997,0.1111111111111111,0.8888888888888888,0.0
1998,0.14285714285714285,0.8571428571428571,0.0
1999,0.0,1.0,0.0
2000,0.6666666666666666,0.3333333333333333,0.0
2001,0.0,1.0,0.0
2002,0.0,0.75,0.25
2003,0.1111111111111111,0.6666666666666666,0.2222222222222222
2004,0.14285714285714285,0.8571428571428571,0.0
2005,0.1111111111111111,0.7777777777777778,0.1111111111111111
2006,0.16666666666666666,0.6666666666666666,0.16666666666666666
2007,0.25,0.75,0.0
2008,0.14814814814814814,0.7407407407407407,0.1111111111111111
2009,0.1111111111111111,0.8333333333333334,0.05555555555555555
2010,0.0,0.8,0.2
2011,0.2857142857142857,0.6785714285714286,0.03571428571428571
2012,0.13333333333333333,0.8,0.06666666666666667
2013,0.16666666666666666,0.7777777777777778,0.05555555555555555
2014,0.18181818181818182,0.6363636363636364,0.18181818181818182
2015,0.14285714285714285,0.7428571428571429,0.11428571428571428
2016,0.625,0.375,0.0
2017,0.14285714285714285,0.42857142857142855,0.42857142857142855
