year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,1.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.16666666666666666,0.8333333333333334,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.25,0.75,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.5,0.5,0.0
1966,1.0,0.0,0.0
1967,0.0,0.6666666666666666,0.3333333333333333
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.5,0.5
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.3333333333333333,0.5,0.16666666666666666
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.6666666666666666,0.3333333333333333,0.0
1978,0.3333333333333333,0.5,0.16666666666666666
1979,0.16666666666666666,0.6666666666666666,0.16666666666666666
1980,0.0,0.0,0.0
1981,1.0,0.0,0.0
1982,0.0,0.5,0.5
1983,0.5,0.5,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.0,1.0,0.0
1987,1.0,0.0,0.0
1988,0.5,0.5,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,1.0
1992,0.0,1.0,0.0
1993,0.0,0.0,0.0
1994,0.75,0.25,0.0
1995,0.0,0.8333333333333334,0.16666666666666666
1996,1.0,0.0,0.0
1997,0.0,1.0,0.0
1998,0.0,1.0,0.0
1999,0.4,0.4,0.2
2000,0.15217391304347827,0.717391304347826,0.13043478260869565
2001,0.5,0.5,0.0
2002,0.0,1.0,0.0
2003,1.0,0.0,0.0
2004,0.0,1.0,0.0
2005,0.0,1.0,0.0
2006,0.0,1.0,0.0
2007,0.1111111111111111,0.8888888888888888,0.0
2008,0.25,0.75,0.0
2009,0.0,0.625,0.375
2010,0.0,1.0,0.0
2011,0.09523809523809523,0.7142857142857143,0.19047619047619047
2012,0.24324324324324326,0.5135135135135135,0.24324324324324326
2013,0.007281553398058253,0.9878640776699029,0.0048543689320388345
2014,0.2,0.6,0.2
2015,0.19047619047619047,0.6190476190476191,0.19047619047619047
2016,0.2631578947368421,0.631578947368421,0.10526315789473684
2017,0.16666666666666666,0.6666666666666666,0.16666666666666666
