year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.16666666666666666,0.8333333333333334,0.0
1952,0.0,0.8333333333333334,0.16666666666666666
1953,0.0,1.0,0.0
1954,0.2,0.8,0.0
1955,0.0,0.5,0.5
1956,0.16666666666666666,0.8333333333333334,0.0
1957,0.5,0.25,0.25
1958,0.2857142857142857,0.5714285714285714,0.14285714285714285
1959,0.3333333333333333,0.6666666666666666,0.0
1960,0.5,0.5,0.0
1961,0.0,0.8,0.2
1962,0.058823529411764705,0.9411764705882353,0.0
1963,0.2,0.8,0.0
1964,0.16666666666666666,0.8333333333333334,0.0
1965,0.06666666666666667,0.9333333333333333,0.0
1966,0.35,0.55,0.1
1967,0.3333333333333333,0.6666666666666666,0.0
1968,0.09090909090909091,0.9090909090909091,0.0
1969,0.1875,0.8125,0.0
1970,0.0,1.0,0.0
1971,0.08333333333333333,0.8333333333333334,0.08333333333333333
1972,0.09090909090909091,0.8181818181818182,0.09090909090909091
1973,0.11764705882352941,0.8823529411764706,0.0
1974,0.4,0.4,0.2
1975,0.0,1.0,0.0
1976,0.0,0.875,0.125
1977,0.1,0.8,0.1
1978,0.08333333333333333,0.5833333333333334,0.3333333333333333
1979,0.0,1.0,0.0
1980,0.14285714285714285,0.7142857142857143,0.14285714285714285
1981,0.25,0.5,0.25
1982,0.0,1.0,0.0
1983,0.0,0.7777777777777778,0.2222222222222222
1984,0.16666666666666666,0.8333333333333334,0.0
1985,0.06432748538011696,0.8888888888888888,0.04678362573099415
1986,0.2,0.8,0.0
1987,0.3,0.7,0.0
1988,0.0,0.875,0.125
1989,0.1,0.9,0.0
1990,0.15789473684210525,0.7368421052631579,0.10526315789473684
1991,0.21052631578947367,0.7368421052631579,0.05263157894736842
1992,0.038461538461538464,0.7307692307692307,0.23076923076923078
1993,0.17647058823529413,0.7058823529411765,0.11764705882352941
1994,0.36363636363636365,0.6363636363636364,0.0
1995,0.08695652173913043,0.8695652173913043,0.043478260869565216
1996,0.09523809523809523,0.8095238095238095,0.09523809523809523
1997,0.15789473684210525,0.7894736842105263,0.05263157894736842
1998,0.17647058823529413,0.7647058823529411,0.058823529411764705
1999,0.045454545454545456,0.8636363636363636,0.09090909090909091
2000,0.29411764705882354,0.7058823529411765,0.0
2001,0.14285714285714285,0.7428571428571429,0.11428571428571428
2002,0.046511627906976744,0.9302325581395349,0.023255813953488372
2003,0.1891891891891892,0.7837837837837838,0.02702702702702703
2004,0.171875,0.765625,0.0625
2005,0.109375,0.875,0.015625
2006,0.16326530612244897,0.7755102040816326,0.061224489795918366
2007,0.18181818181818182,0.7454545454545455,0.07272727272727272
2008,0.1791044776119403,0.7761194029850746,0.04477611940298507
2009,0.12903225806451613,0.7580645161290323,0.11290322580645161
2010,0.06315789473684211,0.8105263157894737,0.12631578947368421
2011,0.08823529411764706,0.7843137254901961,0.12745098039215685
2012,0.11363636363636363,0.8863636363636364,0.0
2013,0.18518518518518517,0.7777777777777778,0.037037037037037035
2014,0.07142857142857142,0.8392857142857143,0.08928571428571429
2015,0.13861386138613863,0.801980198019802,0.0594059405940594
2016,0.17204301075268819,0.7849462365591398,0.043010752688172046
2017,0.2631578947368421,0.631578947368421,0.10526315789473684
