year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.3333333333333333,0.5,0.16666666666666666
1952,0.0,1.0,0.0
1953,0.25,0.75,0.0
1954,0.0,0.75,0.25
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.2,0.7,0.1
1961,0.0,0.6,0.4
1962,0.15384615384615385,0.7692307692307693,0.07692307692307693
1963,0.23076923076923078,0.6923076923076923,0.07692307692307693
1964,0.0,1.0,0.0
1965,0.34782608695652173,0.5652173913043478,0.08695652173913043
1966,0.0,1.0,0.0
1967,0.09090909090909091,0.6363636363636364,0.2727272727272727
1968,0.375,0.5,0.125
1969,0.2,0.8,0.0
1970,0.25,0.75,0.0
1971,0.08333333333333333,0.6666666666666666,0.25
1972,0.1111111111111111,0.8888888888888888,0.0
1973,0.4,0.6,0.0
1974,0.08,0.68,0.24
1975,0.2,0.75,0.05
1976,0.09090909090909091,0.5454545454545454,0.36363636363636365
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.2,0.8,0.0
1979,0.125,0.6875,0.1875
1980,0.0,0.8888888888888888,0.1111111111111111
1981,0.08333333333333333,0.75,0.16666666666666666
1982,0.25,0.75,0.0
1983,0.13636363636363635,0.6818181818181818,0.18181818181818182
1984,0.2,0.6,0.2
1985,0.10526315789473684,0.7894736842105263,0.10526315789473684
1986,0.0,0.3333333333333333,0.6666666666666666
1987,0.1,0.8,0.1
1988,0.25,0.75,0.0
1989,0.0,0.8,0.2
1990,0.18181818181818182,0.5454545454545454,0.2727272727272727
1991,0.0,0.75,0.25
1992,0.09090909090909091,0.7272727272727273,0.18181818181818182
1993,0.0,0.625,0.375
1994,0.16666666666666666,0.6666666666666666,0.16666666666666666
1995,0.3333333333333333,0.5,0.16666666666666666
1996,0.11764705882352941,0.8235294117647058,0.058823529411764705
1997,0.25,0.625,0.125
1998,0.2727272727272727,0.5454545454545454,0.18181818181818182
1999,0.08,0.64,0.28
2000,0.13333333333333333,0.6,0.26666666666666666
2001,0.1111111111111111,0.6111111111111112,0.2777777777777778
2002,0.11538461538461539,0.8076923076923077,0.07692307692307693
2003,0.1,0.8,0.1
2004,0.14285714285714285,0.7142857142857143,0.14285714285714285
2005,0.09090909090909091,0.6818181818181818,0.22727272727272727
2006,0.2,0.7714285714285715,0.02857142857142857
2007,0.16666666666666666,0.6481481481481481,0.18518518518518517
2008,0.175,0.675,0.15
2009,0.14285714285714285,0.7428571428571429,0.11428571428571428
2010,0.09090909090909091,0.6363636363636364,0.2727272727272727
2011,0.18867924528301888,0.5849056603773585,0.22641509433962265
2012,0.09090909090909091,0.7090909090909091,0.2
2013,0.15625,0.703125,0.140625
2014,0.16393442622950818,0.7049180327868853,0.13114754098360656
2015,0.2413793103448276,0.6896551724137931,0.06896551724137931
2016,0.14,0.78,0.08
2017,0.11428571428571428,0.6,0.2857142857142857
