year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.2222222222222222,0.7777777777777778,0.0
1957,0.0,1.0,0.0
1958,0.5,0.5,0.0
1959,0.0,1.0,0.0
1960,0.6666666666666666,0.3333333333333333,0.0
1961,0.0,1.0,0.0
1962,0.2,0.8,0.0
1963,0.0,1.0,0.0
1964,0.6666666666666666,0.3333333333333333,0.0
1965,0.0,1.0,0.0
1966,0.25,0.75,0.0
1967,1.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.375,0.625,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.16666666666666666,0.8333333333333334,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.07692307692307693,0.8461538461538461,0.07692307692307693
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.6666666666666666,0.0,0.3333333333333333
1982,0.0,1.0,0.0
1983,0.0,0.3333333333333333,0.6666666666666666
1984,0.16666666666666666,0.8333333333333334,0.0
1985,0.75,0.25,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.2,0.6,0.2
1989,0.2,0.8,0.0
1990,0.0,0.8,0.2
1991,0.18181818181818182,0.7272727272727273,0.09090909090909091
1992,0.0,1.0,0.0
1993,0.3,0.7,0.0
1994,0.14285714285714285,0.8571428571428571,0.0
1995,0.0,0.6,0.4
1996,0.09090909090909091,0.7272727272727273,0.18181818181818182
1997,0.0,0.7777777777777778,0.2222222222222222
1998,0.0,1.0,0.0
1999,0.5,0.5,0.0
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.6666666666666666,0.3333333333333333,0.0
2002,0.42857142857142855,0.5714285714285714,0.0
2003,0.13043478260869565,0.782608695652174,0.08695652173913043
2004,0.125,0.84375,0.03125
2005,0.12195121951219512,0.7804878048780488,0.0975609756097561
2006,0.2,0.68,0.12
2007,0.2413793103448276,0.6896551724137931,0.06896551724137931
2008,0.18421052631578946,0.7631578947368421,0.05263157894736842
2009,0.1896551724137931,0.7931034482758621,0.017241379310344827
2010,0.1276595744680851,0.7872340425531915,0.0851063829787234
2011,0.22666666666666666,0.6666666666666666,0.10666666666666667
2012,0.2727272727272727,0.7045454545454546,0.022727272727272728
2013,0.34782608695652173,0.6304347826086957,0.021739130434782608
2014,0.09090909090909091,0.8181818181818182,0.09090909090909091
2015,0.21428571428571427,0.7857142857142857,0.0
2016,0.11538461538461539,0.6923076923076923,0.19230769230769232
2017,0.2222222222222222,0.7777777777777778,0.0
