year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,1.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,1.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,1.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.5,0.5,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,1.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.5,0.5,0.0
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,1.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.14285714285714285,0.8571428571428571,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.5,0.25,0.25
1993,0.0,1.0,0.0
1994,0.0,0.0,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.5,0.375,0.125
1998,0.0,0.0,1.0
1999,0.0,0.5,0.5
2000,0.75,0.25,0.0
2001,0.25,0.75,0.0
2002,0.6,0.4,0.0
2003,0.125,0.75,0.125
2004,0.07692307692307693,0.7692307692307693,0.15384615384615385
2005,0.23809523809523808,0.6190476190476191,0.14285714285714285
2006,0.08333333333333333,0.5833333333333334,0.3333333333333333
2007,0.38461538461538464,0.46153846153846156,0.15384615384615385
2008,0.4166666666666667,0.4166666666666667,0.16666666666666666
2009,0.25925925925925924,0.6666666666666666,0.07407407407407407
2010,0.2727272727272727,0.36363636363636365,0.36363636363636365
2011,0.16666666666666666,0.7222222222222222,0.1111111111111111
2012,0.38461538461538464,0.3076923076923077,0.3076923076923077
2013,0.3,0.5,0.2
2014,0.3333333333333333,0.5714285714285714,0.09523809523809523
2015,0.21428571428571427,0.6428571428571429,0.14285714285714285
2016,0.2857142857142857,0.5714285714285714,0.14285714285714285
2017,0.2222222222222222,0.5555555555555556,0.2222222222222222
