year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.5,0.5
1952,0.0,0.0,0.0
1953,0.0,0.0,1.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.5,0.5
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,1.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.3333333333333333,0.6666666666666666
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.875,0.125
1971,0.6666666666666666,0.3333333333333333,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.6666666666666666,0.3333333333333333
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.5,0.5
1985,0.0,0.6666666666666666,0.3333333333333333
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,0.0
1989,1.0,0.0,0.0
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.2,0.8,0.0
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.5,0.0,0.5
1997,0.125,0.625,0.25
1998,0.0,0.0,0.0
1999,0.0,0.875,0.125
2000,0.2857142857142857,0.42857142857142855,0.2857142857142857
2001,0.0,1.0,0.0
2002,0.14285714285714285,0.5714285714285714,0.2857142857142857
2003,0.6,0.0,0.4
2004,0.0,0.3333333333333333,0.6666666666666666
2005,0.2,0.8,0.0
2006,0.0,1.0,0.0
2007,0.0,1.0,0.0
2008,0.09090909090909091,0.8181818181818182,0.09090909090909091
2009,0.125,0.75,0.125
2010,0.08333333333333333,0.5833333333333334,0.3333333333333333
2011,0.15625,0.78125,0.0625
2012,0.2,0.6,0.2
2013,0.5,0.5,0.0
2014,0.14285714285714285,0.7142857142857143,0.14285714285714285
2015,0.08571428571428572,0.8285714285714286,0.08571428571428572
2016,0.1111111111111111,0.6666666666666666,0.2222222222222222
2017,0.25,0.75,0.0
