year,pos,neu,neg
1950,0.25139664804469275,0.6703910614525139,0.0782122905027933
1951,0.2541436464088398,0.6187845303867403,0.1270718232044199
1952,0.1989795918367347,0.6479591836734694,0.15306122448979592
1953,0.23711340206185566,0.6907216494845361,0.07216494845360824
1954,0.20253164556962025,0.6740506329113924,0.12341772151898735
1955,0.1686746987951807,0.7518072289156627,0.07951807228915662
1956,0.21544715447154472,0.6504065040650406,0.13414634146341464
1957,0.2019704433497537,0.6502463054187192,0.1477832512315271
1958,0.16932907348242812,0.7284345047923323,0.10223642172523961
1959,0.20089285714285715,0.7232142857142857,0.07589285714285714
1960,0.24705882352941178,0.6517647058823529,0.1011764705882353
1961,0.2473404255319149,0.6382978723404256,0.11436170212765957
1962,0.19313304721030042,0.6566523605150214,0.15021459227467812
1963,0.22077922077922077,0.6623376623376623,0.11688311688311688
1964,0.18446601941747573,0.6893203883495146,0.1262135922330097
1965,0.2157622739018088,0.6731266149870802,0.1111111111111111
1966,0.3032721468475658,0.6033519553072626,0.09337589784517158
1967,0.24880382775119617,0.6468899521531101,0.10430622009569378
1968,0.23898305084745763,0.6677966101694915,0.09322033898305085
1969,0.22739361702127658,0.6795212765957447,0.09308510638297872
1970,0.21608643457382953,0.6842737094837935,0.09963985594237695
1971,0.2047670639219935,0.6630552546045504,0.13217768147345613
1972,0.20479041916167665,0.6970059880239521,0.09820359281437126
1973,0.22870662460567823,0.6545741324921136,0.1167192429022082
1974,0.21790341578327443,0.6313309776207303,0.15076560659599528
1975,0.18912797281993204,0.6987542468856173,0.11211778029445074
1976,0.21291866028708134,0.6686602870813397,0.11842105263157894
1977,0.18259935553168635,0.6852846401718582,0.13211600429645542
1978,0.20421393841166938,0.6645056726094003,0.1312803889789303
1979,0.17210440456769985,0.7096247960848288,0.11827079934747145
1980,0.2037037037037037,0.6586151368760065,0.13768115942028986
1981,0.19447186574531095,0.6702862783810464,0.13524185587364265
1982,0.22028688524590165,0.6577868852459017,0.12192622950819672
1983,0.21284080914687775,0.6569920844327177,0.13016710642040458
1984,0.22668240850059032,0.6729634002361276,0.10035419126328217
1985,0.20935960591133004,0.6958128078817734,0.09482758620689655
1986,0.1809872029250457,0.6873857404021938,0.1316270566727605
1987,0.2287784679089027,0.6708074534161491,0.10041407867494824
1988,0.1937290033594625,0.6998880179171333,0.10638297872340426
1989,0.20447284345047922,0.6826411075612353,0.11288604898828541
1990,0.2035623409669211,0.6870229007633588,0.10941475826972011
1991,0.2100175746924429,0.6889279437609842,0.10105448154657294
1992,0.20017873100983022,0.6747095621090259,0.12511170688114387
1993,0.19597249508840864,0.6640471512770137,0.13998035363457761
1994,0.21499013806706113,0.6646942800788954,0.1203155818540434
1995,0.19658119658119658,0.6343779677113011,0.16904083570750236
1996,0.17010816125860373,0.7128810226155359,0.11701081612586037
1997,0.21362489486963834,0.63919259882254,0.1471825063078217
1998,0.224834680382072,0.6583394562821455,0.11682586333578251
1999,0.2301038062283737,0.6738754325259516,0.09602076124567474
2000,0.1981981981981982,0.665028665028665,0.13677313677313677
2001,0.23285486443381181,0.671451355661882,0.09569377990430622
2002,0.21322215604526504,0.6545562835020846,0.13222156045265038
2003,0.1934477379095164,0.6755070202808112,0.1310452418096724
2004,0.20414201183431951,0.6792899408284023,0.1165680473372781
2005,0.20975378787878787,0.6510416666666666,0.13920454545454544
2006,0.2192723697148476,0.671583087512291,0.10914454277286136
2007,0.20462205103514686,0.6759749638902263,0.11940298507462686
2008,0.22075471698113208,0.6618867924528302,0.11735849056603774
2009,0.20679219905850707,0.6919973100201748,0.10121049092131809
2010,0.2030936694356918,0.6857633915783443,0.1111429389859639
2011,0.20323390019514914,0.6846947309729579,0.11207136883189295
2012,0.21675943104514533,0.6669758812615956,0.11626468769325912
2013,0.19613793103448277,0.6918620689655173,0.112
2014,0.20309677419354838,0.6874838709677419,0.10941935483870968
2015,0.2185089974293059,0.6744858611825193,0.10700514138817481
2016,0.19371576823292014,0.6855001441337562,0.12078408763332373
2017,0.20958083832335328,0.6839654025282768,0.10645375914836992
