year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.5,0.0,0.5
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.5,0.5,0.0
1974,0.14285714285714285,0.8571428571428571,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.16666666666666666,0.8333333333333334,0.0
1985,0.0,0.75,0.25
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,0.6666666666666666,0.3333333333333333
1992,0.0,1.0,0.0
1993,0.5,0.0,0.5
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.0,1.0,0.0
1997,0.2857142857142857,0.7142857142857143,0.0
1998,0.0,0.6,0.4
1999,0.16666666666666666,0.8333333333333334,0.0
2000,0.5,0.5,0.0
2001,0.1111111111111111,0.7777777777777778,0.1111111111111111
2002,0.13333333333333333,0.8,0.06666666666666667
2003,0.08333333333333333,0.8333333333333334,0.08333333333333333
2004,0.07142857142857142,0.5714285714285714,0.35714285714285715
2005,0.23529411764705882,0.5294117647058824,0.23529411764705882
2006,0.15789473684210525,0.7894736842105263,0.05263157894736842
2007,0.10714285714285714,0.8571428571428571,0.03571428571428571
2008,0.18181818181818182,0.7727272727272727,0.045454545454545456
2009,0.25,0.5833333333333334,0.16666666666666666
2010,0.13333333333333333,0.7833333333333333,0.08333333333333333
2011,0.1875,0.71875,0.09375
2012,0.125,0.7083333333333334,0.16666666666666666
2013,0.11538461538461539,0.7692307692307693,0.11538461538461539
2014,0.18181818181818182,0.8181818181818182,0.0
2015,0.13636363636363635,0.8181818181818182,0.045454545454545456
2016,0.2857142857142857,0.6666666666666666,0.047619047619047616
2017,0.2222222222222222,0.7222222222222222,0.05555555555555555
