year,pos,neu,neg
1950,0.25,0.6875,0.0625
1951,0.25,0.6875,0.0625
1952,0.375,0.625,0.0
1953,0.25,0.75,0.0
1954,0.28,0.68,0.04
1955,0.04,0.88,0.08
1956,0.21428571428571427,0.7857142857142857,0.0
1957,0.13513513513513514,0.8648648648648649,0.0
1958,0.18181818181818182,0.7727272727272727,0.045454545454545456
1959,0.3076923076923077,0.6153846153846154,0.07692307692307693
1960,0.375,0.5416666666666666,0.08333333333333333
1961,0.08333333333333333,0.875,0.041666666666666664
1962,0.1724137931034483,0.7931034482758621,0.034482758620689655
1963,0.23333333333333334,0.7666666666666667,0.0
1964,0.20588235294117646,0.7058823529411765,0.08823529411764706
1965,0.2558139534883721,0.6744186046511628,0.06976744186046512
1966,0.32,0.64,0.04
1967,0.24,0.76,0.0
1968,0.12903225806451613,0.7741935483870968,0.0967741935483871
1969,0.2608695652173913,0.7391304347826086,0.0
1970,0.19230769230769232,0.8076923076923077,0.0
1971,0.13043478260869565,0.7391304347826086,0.13043478260869565
1972,0.1891891891891892,0.7567567567567568,0.05405405405405406
1973,0.10810810810810811,0.7567567567567568,0.13513513513513514
1974,0.16129032258064516,0.7903225806451613,0.04838709677419355
1975,0.22916666666666666,0.6458333333333334,0.125
1976,0.14705882352941177,0.8529411764705882,0.0
1977,0.3541666666666667,0.625,0.020833333333333332
1978,0.23076923076923078,0.6666666666666666,0.10256410256410256
1979,0.2857142857142857,0.6190476190476191,0.09523809523809523
1980,0.2222222222222222,0.7111111111111111,0.06666666666666667
1981,0.375,0.625,0.0
1982,0.21951219512195122,0.6829268292682927,0.0975609756097561
1983,0.16216216216216217,0.7837837837837838,0.05405405405405406
1984,0.19148936170212766,0.6808510638297872,0.1276595744680851
1985,0.23809523809523808,0.7301587301587301,0.031746031746031744
1986,0.21052631578947367,0.7631578947368421,0.02631578947368421
1987,0.23255813953488372,0.7441860465116279,0.023255813953488372
1988,0.25,0.5833333333333334,0.16666666666666666
1989,0.16129032258064516,0.8225806451612904,0.016129032258064516
1990,0.12195121951219512,0.8292682926829268,0.04878048780487805
1991,0.19607843137254902,0.7058823529411765,0.09803921568627451
1992,0.11627906976744186,0.8372093023255814,0.046511627906976744
1993,0.1875,0.734375,0.078125
1994,0.2542372881355932,0.6440677966101694,0.1016949152542373
1995,0.27906976744186046,0.6511627906976745,0.06976744186046512
1996,0.2463768115942029,0.6521739130434783,0.10144927536231885
1997,0.1717171717171717,0.696969696969697,0.13131313131313133
1998,0.18085106382978725,0.7021276595744681,0.11702127659574468
1999,0.20238095238095238,0.75,0.047619047619047616
2000,0.1308411214953271,0.7663551401869159,0.102803738317757
2001,0.24528301886792453,0.6792452830188679,0.07547169811320754
2002,0.24193548387096775,0.7258064516129032,0.03225806451612903
2003,0.1559633027522936,0.7706422018348624,0.07339449541284404
2004,0.15,0.7625,0.0875
2005,0.19186046511627908,0.7034883720930233,0.10465116279069768
2006,0.21761658031088082,0.6787564766839378,0.10362694300518134
2007,0.14410480349344978,0.7685589519650655,0.08733624454148471
2008,0.17793594306049823,0.7259786476868327,0.09608540925266904
2009,0.16334661354581673,0.7649402390438247,0.07171314741035857
2010,0.13468013468013468,0.7710437710437711,0.09427609427609428
2011,0.17759562841530055,0.7377049180327869,0.08469945355191257
2012,0.1752021563342318,0.7358490566037735,0.0889487870619946
2013,0.19230769230769232,0.717948717948718,0.08974358974358974
2014,0.20994475138121546,0.7320441988950276,0.058011049723756904
2015,0.22118380062305296,0.7289719626168224,0.04984423676012461
2016,0.13709677419354838,0.782258064516129,0.08064516129032258
2017,0.17989417989417988,0.6984126984126984,0.12169312169312169
