year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.7142857142857143,0.2857142857142857
1955,0.0,1.0,0.0
1956,0.4,0.6,0.0
1957,0.0,0.875,0.125
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.25,0.75,0.0
1963,0.0,1.0,0.0
1964,0.0,0.6666666666666666,0.3333333333333333
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.14285714285714285,0.8571428571428571,0.0
1968,0.0625,0.75,0.1875
1969,0.0,0.5,0.5
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.25,0.625,0.125
1975,0.5,0.5,0.0
1976,0.0,0.875,0.125
1977,0.0,1.0,0.0
1978,0.0,0.6666666666666666,0.3333333333333333
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.6666666666666666,0.3333333333333333
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.16666666666666666,0.6666666666666666,0.16666666666666666
1988,0.16666666666666666,0.8333333333333334,0.0
1989,0.2,0.8,0.0
1990,0.0,0.8333333333333334,0.16666666666666666
1991,0.0,0.3333333333333333,0.6666666666666666
1992,0.1,0.8,0.1
1993,0.09090909090909091,0.9090909090909091,0.0
1994,0.07692307692307693,0.7692307692307693,0.15384615384615385
1995,0.09090909090909091,0.8181818181818182,0.09090909090909091
1996,0.1111111111111111,0.6666666666666666,0.2222222222222222
1997,0.2222222222222222,0.6666666666666666,0.1111111111111111
1998,0.0,1.0,0.0
1999,0.09090909090909091,0.9090909090909091,0.0
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.125,0.5625,0.3125
2002,0.1111111111111111,0.8888888888888888,0.0
2003,0.0625,0.875,0.0625
2004,0.2222222222222222,0.6666666666666666,0.1111111111111111
2005,0.0,0.8,0.2
2006,0.0,0.75,0.25
2007,0.0,0.8571428571428571,0.14285714285714285
2008,0.125,0.8125,0.0625
2009,0.0,0.9375,0.0625
2010,0.16666666666666666,0.75,0.08333333333333333
2011,0.0,0.8181818181818182,0.18181818181818182
2012,0.05,0.95,0.0
2013,0.05263157894736842,0.8421052631578947,0.10526315789473684
2014,0.05263157894736842,0.7368421052631579,0.21052631578947367
2015,0.2,0.72,0.08
2016,0.0,0.9090909090909091,0.09090909090909091
2017,0.0,1.0,0.0
