year,pos,neu,neg
1950,0.25,0.75,0.0
1951,0.15384615384615385,0.717948717948718,0.1282051282051282
1952,0.0,0.9375,0.0625
1953,0.3,0.5666666666666667,0.13333333333333333
1954,0.35,0.65,0.0
1955,0.21621621621621623,0.6756756756756757,0.10810810810810811
1956,0.2608695652173913,0.6086956521739131,0.13043478260869565
1957,0.22727272727272727,0.6818181818181818,0.09090909090909091
1958,0.2545454545454545,0.7090909090909091,0.03636363636363636
1959,0.13043478260869565,0.782608695652174,0.08695652173913043
1960,0.21621621621621623,0.6216216216216216,0.16216216216216217
1961,0.12195121951219512,0.7804878048780488,0.0975609756097561
1962,0.34210526315789475,0.5263157894736842,0.13157894736842105
1963,0.2857142857142857,0.5476190476190477,0.16666666666666666
1964,0.20967741935483872,0.6935483870967742,0.0967741935483871
1965,0.38235294117647056,0.5147058823529411,0.10294117647058823
1966,0.22916666666666666,0.6458333333333334,0.125
1967,0.15384615384615385,0.7948717948717948,0.05128205128205128
1968,0.34782608695652173,0.6304347826086957,0.021739130434782608
1969,0.34831460674157305,0.6179775280898876,0.033707865168539325
1970,0.2,0.6666666666666666,0.13333333333333333
1971,0.1956521739130435,0.8043478260869565,0.0
1972,0.1935483870967742,0.6774193548387096,0.12903225806451613
1973,0.29310344827586204,0.5517241379310345,0.15517241379310345
1974,0.1,0.6666666666666666,0.23333333333333334
1975,0.1951219512195122,0.7804878048780488,0.024390243902439025
1976,0.20588235294117646,0.7352941176470589,0.058823529411764705
1977,0.15,0.725,0.125
1978,0.1951219512195122,0.7317073170731707,0.07317073170731707
1979,0.23529411764705882,0.7058823529411765,0.058823529411764705
1980,0.14285714285714285,0.8095238095238095,0.047619047619047616
1981,0.15217391304347827,0.6086956521739131,0.2391304347826087
1982,0.18518518518518517,0.7037037037037037,0.1111111111111111
1983,0.23728813559322035,0.6779661016949152,0.0847457627118644
1984,0.1111111111111111,0.75,0.1388888888888889
1985,0.2777777777777778,0.5925925925925926,0.12962962962962962
1986,0.13333333333333333,0.7333333333333333,0.13333333333333333
1987,0.2037037037037037,0.7407407407407407,0.05555555555555555
1988,0.25,0.625,0.125
1989,0.21739130434782608,0.6521739130434783,0.13043478260869565
1990,0.16216216216216217,0.5945945945945946,0.24324324324324326
1991,0.2833333333333333,0.6333333333333333,0.08333333333333333
1992,0.21621621621621623,0.6756756756756757,0.10810810810810811
1993,0.25,0.7045454545454546,0.045454545454545456
1994,0.06818181818181818,0.7272727272727273,0.20454545454545456
1995,0.30357142857142855,0.5892857142857143,0.10714285714285714
1996,0.16666666666666666,0.7291666666666666,0.10416666666666667
1997,0.2714285714285714,0.6,0.12857142857142856
1998,0.19672131147540983,0.6721311475409836,0.13114754098360656
1999,0.203125,0.640625,0.15625
2000,0.23076923076923078,0.6813186813186813,0.08791208791208792
2001,0.1717171717171717,0.6666666666666666,0.16161616161616163
2002,0.17142857142857143,0.6428571428571429,0.18571428571428572
2003,0.21487603305785125,0.6198347107438017,0.1652892561983471
2004,0.17647058823529413,0.7254901960784313,0.09803921568627451
2005,0.2358974358974359,0.6512820512820513,0.11282051282051282
2006,0.22429906542056074,0.6542056074766355,0.12149532710280374
2007,0.23786407766990292,0.6407766990291263,0.12135922330097088
2008,0.2409090909090909,0.6,0.1590909090909091
2009,0.2222222222222222,0.6928104575163399,0.08496732026143791
2010,0.1870748299319728,0.6904761904761905,0.12244897959183673
2011,0.20152091254752852,0.6806083650190115,0.11787072243346007
2012,0.24257425742574257,0.6485148514851485,0.10891089108910891
2013,0.22277227722772278,0.6732673267326733,0.10396039603960396
2014,0.20161290322580644,0.6169354838709677,0.1814516129032258
2015,0.2204724409448819,0.6535433070866141,0.12598425196850394
2016,0.18357487922705315,0.6763285024154589,0.14009661835748793
2017,0.1896551724137931,0.6724137931034483,0.13793103448275862
